search_id,keyword,rank,note_id,title,type,desc,note_url,video_url,image_list,tag_list,author_id,nickname,last_update_time,liked_count,collected_count,comment_count,share_count,brand_list,spu_list,emotion_dict,evaluation_dict,has_note_detail,has_brand_info,data_crawler_time
234,livingproof,1,6836f7cd000000002301fedf,不是博主 敢说真话,normal,"我很少去尝试冷门的，手头上的都是小红书比较火的洗发水，不好说我看到的洗发水分享是不是广告，这篇就是说一下我用到现在的感受。
	
且初和offrelax真的洗完很涩，涩的要打结的那种，咬牙用完我肯定就不会回购了（ps：且初味道还是很好闻的）
	
控油的话maternatura和living proof都很不错，洗完会有轻微的涩感！第一瓶更控油，第二瓶更蓬松
	
喜欢柔顺的可以试试欧莱雅玻尿酸和noah，洗完头发都顺顺的，都不用抹护发素了，但控油一般般！
	
olaplex还挺好用的，洗完发质很好！
其它的都一般一般，无功无过
#别怪我说实话 #洗发水 #咱就是说主打一个真实 #洗发水测评",https://www.xiaohongshu.com/explore/6836f7cd000000002301fedf?xsec_token=ABW3P5dq9ahZRBZebfjQoCkydX4x4Id1YXHcebFdAOo1Y=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i1bu54cmk4g5oqr8nfm5jms5r9j4mg!nd_dft_wlteh_jpg_3""",,635b45df000000001802cedc,奶茶,2025-05-28T19:47:25+00:00,71.0,23.0,4.0,6.0,"[""且初"", ""Off&Relax"", ""Maternatura"", ""Living Proof"", ""L'Oréal"", ""Noah"", ""Olaplex"", ""Kiehl's"", ""L'oreal""]","""[\""且初洗发水\"",\""offrelax洗发水\"",\""maternatura洗发水\"",\""living proof洗发水\"",\""欧莱雅玻尿酸洗发水\"",\""noah洗发水\"",\""olaplex洗发水\"",\""Off & Relax洗发水\"",\""Kiehl's洗发水\"",\""L'OREAL Vitamino Color洗发水\""]""","{""且初"": ""负向"", ""Off&Relax"": ""负向"", ""Maternatura"": ""正向"", ""Living Proof"": ""正向"", ""L'Oréal"": ""正向"", ""Noah"": ""正向"", ""Olaplex"": ""正向"", ""Kiehl's"": ""中立"", ""L'oreal"": ""中立"", ""且初洗发水"": ""负向"", ""Maternatura洗发水"": ""正向"", ""欧莱雅玻尿酸洗发水"": ""正向"", ""Noah洗发水"": ""正向"", ""Olaplex洗发水"": ""正向"", ""Off & Relax洗发水"": ""中立"", ""Kiehl's洗发水"": ""中立"", ""L'oreal Vitamino Color洗发水"": ""中立""}","{""且初"": [""涩"", ""味道好闻""], ""Off&Relax"": [""涩""], ""Maternatura"": [""控油""], ""Living Proof"": [""蓬松"", ""轻微的涩感""], ""L'Oréal"": [""柔顺""], ""Noah"": [""柔顺""], ""Olaplex"": [""发质好""], ""Kiehl's"": [], ""L'oreal"": [], ""且初洗发水"": [""涩"", ""味道好闻""], ""Maternatura洗发水"": [""控油""], ""欧莱雅玻尿酸洗发水"": [""柔顺""], ""Noah洗发水"": [""柔顺""], ""Olaplex洗发水"": [""发质好""], ""Off & Relax洗发水"": [], ""Kiehl's洗发水"": [], ""L'oreal Vitamino Color洗发水"": []}",True,True,2025-05-30T00:30:57.829682+00:00
566,livingproof,2,67377dcf000000001901a1f3,几乎用过所有贵价控油洗发水,normal,"很油的细软塌➕敏感头皮，天生头发少，掉发也挺严重，诉求就是控油、舒缓。除了图里这些，还有章小蕙推荐的myorganics白瓶、馥绿德雅绿白瓶、卡诗根源特护、资生堂头皮生机…
	
我的习惯是同时开三、四种不一样的洗发水用，可以非常明显的感受到每种洗发水的使用感！这个习惯好几年了，从最开始的隔一天洗一次，现在可以4天再洗[耶R]
	
[红色心形R]所有用过的里面，最最最最喜欢的就是Leonor Greyl 蜂蜜洗发水，已经用了十几瓶了！太太太爱了，所有头油、头痒、脱发都去买[买爆R]其次是VIRTUE紫瓶，起泡、味道、使用感都超好！这两瓶都是用一囤二的
	
一般不会回购：卡诗、资生堂、myorganics、living proof，非常一般的使用感，轮到用它们的时候都很勉强[笑哭R]
	
[星R]还有一个特别的存在：natureofthings，使用感和味道一般，但是可能会回购[笑哭R]主打苹果干x胞，芦荟椰子油什么的，还有水杨酸和去角质面膜才会有到的火山泥，这个配方很喜欢。有点深层清洁的感觉，所以我一般一个月用一次，起泡hin少，味道不太喜欢，但是不是化工味，洗完非常非常干，护发素要用多一点才行
	
[弱R]最不喜欢的是馥绿德雅，虽然！我回购过5次至少，那个时候可能没发现真正好用的，第一次接触到这么控油的产品，洗完非常非常干涩，甚至涩到头皮紧绷不舒服，还觉得挺好🙂有时候洗完头皮就痒，换季还有头屑！后面看介绍，才知道里面悬浮的球球是加了甚么东西（忘记了、反正没啥用只为了好看。成分也比较刺激
	
有什么好用的洗发水大家也可以安利一下哦[栗子R]
	
#洗发水[话题]# #洗发水推荐[话题]# #好物推荐[话题]# #脱发[话题]# #小红薯的日常[话题]#",https://www.xiaohongshu.com/explore/67377dcf000000001901a1f3?xsec_token=ABxQSP9GZRjt8UgMl5eNtLAkHfTO59qwIpxQ9YHUC_51c=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831an4t3ht7c4g5p8t1sup2h8eai0vo48!nd_dft_wgth_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831an4t3ht7c505p8t1sup2h8e6qqbcsg!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831an4t3ht7c5g5p8t1sup2h8enteom28!nd_dft_wlteh_jpg_3""","""洗发水,洗发水推荐,好物推荐,脱发,小红薯的日常""",651d0f3d000000002401450e,Tiiamo,2024-11-28T13:13:34+00:00,708.0,546.0,76.0,33.0,"[""Leonor Greyl"", ""Virtue"", ""Living Proof"", ""Natureofthings"", ""馥绿德雅"", ""Kérastase"", ""Shiseido"", ""MY.ORGANICS""]","""[\""Leonor Greyl 蜂蜜洗发水\"",\""VIRTUE紫瓶洗发水\"",\""Living proof洗发水\"",\""natureofthings Hair Cleanse Concentrate\"",\""馥绿德雅赋活焕能洗发水\"",\""卡诗根源特护洗发水\"",\""资生堂头皮生机洗发水\"",\""myorganics白瓶洗发水\""]""","{""Leonor Greyl"": ""正向"", ""Virtue"": ""正向"", ""Living Proof"": ""中立"", ""Natureofthings"": ""中立"", ""馥绿德雅"": ""负向"", ""Kérastase"": ""中立"", ""Shiseido"": ""中立"", ""MY.ORGANICS"": ""中立"", ""Leonor Greyl 蜂蜜洗发水"": ""正向"", ""Virtue紫瓶洗发水"": ""正向"", ""Natureofthings Hair Cleanse Concentrate"": ""中立"", ""馥绿德雅赋活焕能洗发水"": ""负向"", ""卡诗根源特护洗发水"": ""中立"", ""资生堂头皮生机洗发水"": ""中立"", ""Myorganics白瓶洗发水"": ""中立""}","{""Leonor Greyl"": [""最喜欢"", ""太太太爱了""], ""Virtue"": [""起泡、味道、使用感都超好""], ""Living Proof"": [""非常一般的使用感""], ""Natureofthings"": [""使用感和味道一般"", ""配方很喜欢"", ""深层清洁"", ""洗完非常非常干""], ""馥绿德雅"": [""洗完非常非常干涩"", ""头皮紧绷不舒服"", ""头皮就痒"", ""头屑"", ""成分比较刺激""], ""Kérastase"": [""非常一般的使用感""], ""Shiseido"": [""非常一般的使用感""], ""MY.ORGANICS"": [""非常一般的使用感""], ""Leonor Greyl 蜂蜜洗发水"": [""最喜欢"", ""太太太爱了"", ""所有头油、头痒、脱发都去买""], ""Virtue紫瓶洗发水"": [""起泡、味道、使用感都超好""], ""Natureofthings Hair Cleanse Concentrate"": [""使用感和味道一般"", ""配方很喜欢"", ""深层清洁"", ""洗完非常非常干""], ""馥绿德雅赋活焕能洗发水"": [""洗完非常非常干涩"", ""头皮紧绷不舒服"", ""头皮就痒"", ""头屑"", ""成分比较刺激""], ""卡诗根源特护洗发水"": [""非常一般的使用感""], ""资生堂头皮生机洗发水"": [""非常一般的使用感""], ""Myorganics白瓶洗发水"": [""非常一般的使用感""]}",True,True,2025-06-07T20:07:59.707381+00:00
896,livingproof,3,68216c15000000000303c4eb,大家都抢到了吗？livingproof骨折跳水！,normal,"这一批历史低💰给宝子们发！
嘴皮子都磨破了才砍下来的
夏季也到了 为油扁塌专研的洗发水
控油蓬松用了都说好！
保税仓发🛒链路齐全有保障～
#缕灵洗发水[话题]# #livingproof[话题]# #油扁塌洗发水推荐[话题]# #控油蓬松[话题]# #寻美记[话题]# #油头洗发水推荐[话题]# #丰盈蓬松洗发水[话题]# #氨基酸洗发水[话题]# #洗发水蓬松[话题]# #洗发水清仓捡漏[话题]#",https://www.xiaohongshu.com/explore/68216c15000000000303c4eb?xsec_token=ABC4aA3WeshVmiL2sW2jbYQX3HqOnWLvYYhtZ4ShN7cns=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg31hcaje4c3q605on8mmllbbke222v0i8!nd_dft_wlteh_jpg_3""","""缕灵洗发水,livingproof,油扁塌洗发水推荐,控油蓬松,寻美记,油头洗发水推荐,丰盈蓬松洗发水,氨基酸洗发水,洗发水蓬松,洗发水清仓捡漏""",62e8b5ab000000001501ae8e,小甜蜜丸子,2025-05-12T11:33:41+00:00,16.0,6.0,1.0,5.0,"[""Living Proof""]","""[\""Living proof全效丰盈蓬松洗发水236ml\""]""","{""Living Proof"": ""正向"", ""Living Proof全效丰盈蓬松洗发水236ml"": ""正向""}","{""Living Proof"": [""控油蓬松"", ""效果好""], ""Living Proof全效丰盈蓬松洗发水236ml"": [""控油蓬松"", ""丰盈蓬松"", ""发质修护""]}",True,True,2025-06-07T20:43:39.601977+00:00
897,livingproof,4,67f3e24d000000001d023839,Living Proof丰盈蓬松空气感洗发水吐槽,normal,"终于空瓶了，先说结论，应该不会再回购了。
这瓶洗发水味道我觉得还挺好闻的，略带点柚子皮的苦涩，又有点草本的清香，但是没什么留香。液体是比较粘稠的透明粘液，起泡能力我觉得一般般。瓶子是挤压的设计，我不太喜欢挤压瓶，因为用到后期会很难挤出来，我只能倒放着才好挤。控油能力也一般般，经常第二天就感觉有点油了，不洗不行。价格我觉得倒是还好，1瓶236ml155元，在我接受范围内。
	
#洗发露[话题]# #洗发水[话题]#",https://www.xiaohongshu.com/explore/67f3e24d000000001d023839?xsec_token=AB1EKwJSGGhbeb0jyJwRFgE4r4MC2eltISXaXlZyFCISw=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031fvrj7m0gg6g49mn9lv2pvd5i105a80!nd_dft_wlteh_jpg_3""","""洗发露,洗发水""",5975fe2c5e87e775a645fda5,张芮菁,2025-04-07T22:33:50+00:00,10.0,2.0,0.0,0.0,"[""Living Proof""]","""[\""Living Proof丰盈蓬松空气感洗发水\""]""","{""Living Proof"": ""负向"", ""Living Proof丰盈蓬松空气感洗发水"": ""负向""}","{""Living Proof"": [""味道挺好闻"", ""留香一般"", ""价格还好""], ""Living Proof丰盈蓬松空气感洗发水"": [""味道挺好闻"", ""留香一般"", ""液体粘稠"", ""起泡能力一般"", ""控油能力一般"", ""挤压瓶设计不好用""]}",True,True,2025-06-07T20:43:39.601977+00:00
237,livingproof,5,67245bc8000000001a01ff7d,避雷天猫livingproof,normal,"买了一套他家洗发水 第一次寄来是漏的
然后说补偿25元 但是我不想要就拒绝
所以换货了 但是二次换回来的还是漏的
看着还是原来那个漏的
要不是心疼我辛辛苦苦抢的李佳琦红包
我就真的退了 这么无良的商家真恶心
#livingproof[话题]#",https://www.xiaohongshu.com/explore/67245bc8000000001a01ff7d?xsec_token=ABJTXQZfGRf4QnJsVwMOMuOZ38B1fB70THe6B8pxXA1PA=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n2705nkbf1n089hp818h97g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n27g5nkbf1n089hp7aobmuo!nd_dft_wlteh_jpg_3""","""livingproof""",5e8b786e0000000001002639,啾了个啾,2024-11-01T12:40:41+00:00,20.0,0.0,1.0,1.0,"[""Living Proof""]","""[\""Livingproof空气丰盈蓬松洗护旅行套装\"",\""Livingproof丰盈洗发水710ml*2\""]""","{""Living Proof"": ""负向"", ""Livingproof空气丰盈蓬松洗护旅行套装"": ""负向"", ""Livingproof丰盈洗发水710ml 2"": ""负向""}","{""Living Proof"": [""无良"", ""恶心""], ""Livingproof空气丰盈蓬松洗护旅行套装"": [""漏的"", ""无良""], ""Livingproof丰盈洗发水710ml 2"": [""漏的"", ""无良""]}",True,True,2025-05-30T00:30:57.829682+00:00
894,livingproof,6,68131640000000000d01467e,🛒缕灵2折大羊毛！！细软塌的神！,normal,"🇺🇸高端小众洗发水livingproof
专为细软塌和油头设计
蓬蓬肽黑科技护发 秒get轻盈高颅顶！
	
外观设计：简约而不失高雅，瓶身设计时尚大方，手感舒适，易于抓握。按压开盖设计，控制用量不易漏。
	
功能特点：氨基酸表活，能够深层清洁头皮，有效去油止痒，同时补充发丝所需营养，让头发丰盈蓬松。
质地轻盈，易于起泡，泡沫丰富细腻，能深入发根清洁。
	
使用体验：使用后头发清爽度大大提升，维持时间长，控油蓬松效果显著，持续48小时不是问题，且不刺激头皮。尤其对于细软塌大油头来说，真的值得一试。
	
清仓[购物车R]2折，79就能把正装带回家，囤货装性价比更高，全家都能一起用！
	
#livingproof洗发水[话题]# #livingproof[话题]##控油洗发水[话题]##蓬松洗发水[话题]##护发洗发水[话题]# #细软塌必备[话题]# #看得见的肽蓬松力[话题]# #洗发水清仓捡漏[话题]# #进口洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]#",https://www.xiaohongshu.com/explore/68131640000000000d01467e?xsec_token=ABPlBA1cLpzvg__1MmwEcYeJamr_p31i0wCq0TCd7X9yE=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs6g5on8mmllbbke9qaokfo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs4g5on8mmllbbkekgv9560!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs505on8mmllbbkeg15q6a0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs605on8mmllbbke29aebh0!nd_dft_wlteh_jpg_3""","""livingproof洗发水,livingproof,控油洗发水,蓬松洗发水,护发洗发水,细软塌必备,看得见的肽蓬松力,洗发水清仓捡漏,进口洗发水,缕灵丰盈蓬松洗发水""",62e8b5ab000000001501ae8e,小甜蜜丸子,2025-05-01T14:35:44+00:00,5.0,3.0,1.0,2.0,"[""Living Proof""]","""[\""Living proof full shampoo\"",\""Living proof Perfect hair Day shampoo\""]""","{""Living Proof"": ""正向"", ""Living Proof Full Shampoo"": ""正向"", ""Living Proof Perfect Hair Day Shampoo"": ""正向""}","{""Living Proof"": [""高端"", ""小众"", ""简约"", ""高雅"", ""时尚"", ""舒适"", ""不刺激""], ""Living Proof Full Shampoo"": [""蓬松"", ""控油"", ""清爽"", ""深层清洁"", ""去油止痒"", ""丰盈"", ""轻盈"", ""细腻"", ""健康""], ""Living Proof Perfect Hair Day Shampoo"": [""保湿"", ""完美"", ""秀发更健康""]}",True,True,2025-06-07T20:43:39.601977+00:00
238,livingproof,7,67e15fdd000000001b03bed4,缕灵！我是真的受够了！！！！,normal,"真的够够了，每天就这么不间断地滴滴滴滴滴滴，每一天！！！！每时每刻！！！！到底能不能改进一下你们的泵头！！！！还我置物架干净清爽也是你们的职责之一好吗！！！！造成的浪费我就不说了！
	
#缕灵[话题]# #livingproof[话题]#  @Living proof 缕灵 @Living proof缕灵 @Living proof缕灵 @Living proof 缕灵",https://www.xiaohongshu.com/explore/67e15fdd000000001b03bed4?xsec_token=ABkX-AZI6VDHBGZ-tqEW7qSbhF64n8QURbR8ieFyQ1l9E=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo004a0piik01fpa8oqd43g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo0g4a0piik01fpa8tk66og!nd_dft_wlteh_jpg_3""","""缕灵,livingproof""",5a5768004eacab5fb1edbf2a,哈利波波波波特,2025-03-24T21:36:30+00:00,0.0,1.0,11.0,0.0,"[""Living Proof"", ""Aveda""]","""[\""Living proof Perfect hair Day shampoo\"",\""AVEDA damage remedy intensive restructuring treatment\""]""","{""Living Proof"": ""负向"", ""Living Proof Perfect Hair Day Shampoo"": ""负向"", ""Aveda"": ""中立"", ""Aveda Damage Remedy Intensive Restructuring Treatment"": ""中立""}","{""Living Proof"": [""浪费"", ""不干净"", ""需要改进""], ""Living Proof Perfect Hair Day Shampoo"": [""滴滴滴滴"", ""置物架不干净"", ""泵头问题""], ""Aveda"": [], ""Aveda Damage Remedy Intensive Restructuring Treatment"": []}",True,True,2025-05-30T00:30:57.829682+00:00
564,livingproof,8,68020165000000000903a604,试过控油蓬松最🐮的❗️真不是一般能比的,video,"小众高端洗发水livingproof大跳水啦！
快来捡漏‼️
建议宝子们先去比比日常💰
这个机制真的可遇不可求啊！嘴皮子都讲破了！
	
油扁塌一定要试试这瓶丧心病狂式吃油蓬松机器❗️
氨基酸表活 黑科技清洁护发
直接让我改“头”换面了！
添加了专研蓬蓬肽和蠕虫叉红藻提取物
能够进入发芯丰盈
真正48h控油蓬松不扁塌‼️
	
#控油蓬松[话题]# #洗发水控油蓬松[话题]# #看得见的肽蓬松力[话题]# #livingproof洗发水[话题]# #缕灵科技护发[话题]# #llivingproof[话题]# #大牌洗发水清仓[话题]# #控油洗发水推荐[话题]# #洗发水成分安全[话题]# #平价洗发水[话题]#",https://www.xiaohongshu.com/explore/68020165000000000903a604?xsec_token=ABwG2jwxlfTObRjKUIhowNWePMgAethnfQankdAANGUg8=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/1040g2so31gdk5t5b3oe05on8mmllbbkes3kiuuo,"""http://sns-img-hw.xhscdn.com/1040g2sg31gdk5t5cju6g5on8mmllbbkecchbnd0!nd_dft_wlteh_jpg_3""","""控油蓬松,洗发水控油蓬松,看得见的肽蓬松力,livingproof洗发水,缕灵科技护发,llivingproof,大牌洗发水清仓,控油洗发水推荐,洗发水成分安全,平价洗发水""",62e8b5ab000000001501ae8e,小甜蜜丸子,2025-04-18T15:38:13+00:00,1.0,0.0,1.0,0.0,"[""Living Proof""]","""[\""Living proof full shampoo\"",\""Living proof Perfect hair Day shampoo\""]""","{""Living Proof"": ""正向"", ""Living Proof Full Shampoo"": ""正向"", ""Living Proof Perfect Hair Day Shampoo"": ""正向""}","{""Living Proof"": [""高端"", ""控油蓬松"", ""氨基酸表活"", ""黑科技清洁护发""], ""Living Proof Full Shampoo"": [""丧心病狂式吃油蓬松机器"", ""48h控油蓬松不扁塌"", ""丰盈""], ""Living Proof Perfect Hair Day Shampoo"": ["" hydrate & perfect"", ""hydrae et embellir""]}",True,True,2025-06-07T20:07:59.707381+00:00
570,livingproof,9,67126ddd000000001b03e2f2,姐妹们这三个决赛圈帮忙选一个吧 救救孩子,normal,哪个好？#李佳琦[话题]# #洗发水[话题]# #资生堂洗发水[话题]# #livingproof蓬松洗护[话题]# #offrelax洗发水[话题]#,https://www.xiaohongshu.com/explore/67126ddd000000001b03e2f2?xsec_token=ABFP77r5Tm5SCyWPyg_0iqcovn_FUNWG7QQzxwkfgVuUk=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g0083193m4vfcki004a0p2mlvid226abjmjg!nd_dft_wlteh_jpg_3""","""李佳琦,洗发水,资生堂洗发水,livingproof蓬松洗护,offrelax洗发水""",5a562bf9e8ac2b6792703442,大M,2024-10-18T22:17:02+00:00,7.0,3.0,19.0,0.0,"[""Off&Relax"", ""Living Proof"", ""Shiseido""]","""[\""OffRelax蓬盈润养型洗发水\"",\""Livingproof丰盈洗发水\"",\""资生堂专业美发头皮生机洗发露\""]""","{""Off&Relax"": ""中立"", ""Living Proof"": ""中立"", ""Shiseido"": ""中立"", ""Offrelax蓬盈润养型洗发水"": ""中立"", ""Livingproof丰盈洗发水"": ""中立"", ""资生堂专业美发头皮生机洗发露"": ""中立""}","{""Off&Relax"": [], ""Living Proof"": [], ""Shiseido"": [], ""Offrelax蓬盈润养型洗发水"": [], ""Livingproof丰盈洗发水"": [], ""资生堂专业美发头皮生机洗发露"": []}",True,True,2025-06-07T20:07:59.707381+00:00
895,livingproof,10,682402ec0000000022025469,35💰了❗️去油蓬松是真的很绝❗️,normal,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABt0A-ZxoXzbj07el-1f8LQGk5dCqW7OCae66kEh0O3Zw=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u005o7jjpqg8jrea4lar2g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u0g5o7jjpqg8jren9p1e7g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u105o7jjpqg8jrekldqv68!nd_dft_wlteh_jpg_3""","""清仓特价,洗发水测评,控油蓬松,洗发水红榜,蓬松洗发水,控油洗发水,干发喷雾,livingproof,缕灵,临期美妆,护发养发,回购清单""",60f39e750000000001004f6e,每天想退休,2025-06-03T16:25:33+00:00,2.0,1.0,0.0,1.0,"[""Living Proof""]","""[\""Living proof Perfect hair Day advanced clean dry shampoo\"",\""Living proof full shampoo\""]""","{""Living Proof"": ""正向"", ""Living Proof Perfect Hair Day Advanced Clean Dry Shampoo"": ""正向"", ""Living Proof Full Shampoo"": ""正向""}","{""Living Proof"": [""去油蓬松"", ""真的很绝"", ""用过的都爱""], ""Living Proof Perfect Hair Day Advanced Clean Dry Shampoo"": [""advanced clean"", ""softness and shine""], ""Living Proof Full Shampoo"": [""adds fullness & volume""]}",True,True,2025-06-07T20:43:39.601977+00:00
