search_id,keyword,search_account,rank,note_id,note_table_id,title,type,desc,note_url,video_url,image_list,tag_list,author_id,nickname,liked_count,collected_count,comment_count,share_count,brand_list,spu_list,emotion_dict,evaluation_dict,has_note_detail,has_brand_info
234,livingproof,小红薯momo,1,6836f7cd000000002301fedf,104.0,不是博主 敢说真话,normal,"我很少去尝试冷门的，手头上的都是小红书比较火的洗发水，不好说我看到的洗发水分享是不是广告，这篇就是说一下我用到现在的感受。
	
且初和offrelax真的洗完很涩，涩的要打结的那种，咬牙用完我肯定就不会回购了（ps：且初味道还是很好闻的）
	
控油的话maternatura和living proof都很不错，洗完会有轻微的涩感！第一瓶更控油，第二瓶更蓬松
	
喜欢柔顺的可以试试欧莱雅玻尿酸和noah，洗完头发都顺顺的，都不用抹护发素了，但控油一般般！
	
olaplex还挺好用的，洗完发质很好！
其它的都一般一般，无功无过
#别怪我说实话 #洗发水 #咱就是说主打一个真实 #洗发水测评",https://www.xiaohongshu.com/explore/6836f7cd000000002301fedf?xsec_token=AB1zLrBj_5bKEBll9sHWAtoX0nEf7YcPZx-Ppi6DbOSQc=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i1bu54cmk4g5oqr8nfm5jms5r9j4mg!nd_dft_wlteh_jpg_3""",,635b45df000000001802cedc,奶茶,37.0,7.0,2.0,0.0,"[""且初"", ""Off&Relax"", ""Maternatura"", ""Living Proof"", ""L'Oréal"", ""Noah"", ""Olaplex""]","""[]""","{""且初"": ""负向"", ""Off&Relax"": ""负向"", ""Maternatura"": ""正向"", ""Living Proof"": ""正向"", ""L'Oréal"": ""正向"", ""Noah"": ""正向"", ""Olaplex"": ""正向""}","{""且初"": [""洗完很涩"", ""涩的要打结"", ""咬牙用完"", ""不会回购"", ""味道很好闻""], ""Off&Relax"": [""洗完很涩"", ""涩的要打结"", ""咬牙用完"", ""不会回购""], ""Maternatura"": [""控油"", ""很不错"", ""轻微的涩感"", ""更控油""], ""Living Proof"": [""控油"", ""很不错"", ""轻微的涩感"", ""更蓬松""], ""L'Oréal"": [""柔顺"", ""顺顺的"", ""不用抹护发素"", ""控油一般般""], ""Noah"": [""柔顺"", ""顺顺的"", ""不用抹护发素"", ""控油一般般""], ""Olaplex"": [""挺好用"", ""发质很好""]}",True,True
235,livingproof,小红薯momo,2,6837058d000000002100dcf6,49.0,洗出高楼大厦🌴般的高颅顶！！,video,"能把细软塌头发立起来的洗发水
不得不提到他们家的蓬蓬肽黑科技
是真🐮哇
🇺🇸进口的沙龙洗护
真的有在好好研究控油！
	
#洗发水控油蓬松[话题]# #控油蓬松[话题]# #油头救星[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #缕灵洗发水[话题]# #livingproof缕灵[话题]# #洗发水推荐[话题]# #控油洗发水[话题]# #油头洗发水[话题]#",https://www.xiaohongshu.com/explore/6837058d000000002100dcf6?xsec_token=ABvwukNy_jAJ19WQBVRWKtZXTX4KKayrcB_PsNYBNzuTA=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/1040g2so31i1dd876n0kg5ojp1jj5at2vblj6r3g,"""http://sns-img-hw.xhscdn.com/1040g00831i1dd875ne6g5ojp1jj5at2vve3i90g!nd_dft_wlteh_jpg_3""","""洗发水控油蓬松,控油蓬松,油头救星,livingproof洗发水,缕灵丰盈蓬松洗发水,缕灵洗发水,livingproof缕灵,洗发水推荐,控油洗发水,油头洗发水""",62790ce6000000001501745f,bellaaaa,2.0,0.0,0.0,0.0,"[""Living Proof""]","""[\""livingproof蓬蓬肽洗发水\"",\""缕灵丰盈蓬松洗发水\""]""","{""Living Proof"": ""正向""}","{""Living Proof"": [""黑科技"", ""进口"", ""沙龙级""]}",True,True
236,livingproof,小红薯momo,3,682402ec0000000022025469,10.0,试过了，去油蓬松是真的很绝❗️清仓,normal,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABUSIp33iqyrOf0zy4DHnNb0W3iQ7xTOS1MC1_XZKaPN4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u005o7jjpqg8jrea4lar2g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u0g5o7jjpqg8jren9p1e7g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u105o7jjpqg8jrekldqv68!nd_dft_wlteh_jpg_3""","""清仓特价,洗发水测评,控油蓬松,洗发水红榜,蓬松洗发水,控油洗发水,干发喷雾,livingproof,缕灵,临期美妆,护发养发,回购清单""",60f39e750000000001004f6e,每天想退休,1.0,1.0,0.0,1.0,"[""Living Proof""]","""[\""livingproof控油蓬松洗发水\"",\""缕灵蓬松洗发水\""]""","{""Living Proof"": ""正向""}","{""Living Proof"": [""回购"", ""护发养发""]}",True,True
237,livingproof,小红薯momo,4,67245bc8000000001a01ff7d,6.0,避雷天猫livingproof,normal,"买了一套他家洗发水 第一次寄来是漏的
然后说补偿25元 但是我不想要就拒绝
所以换货了 但是二次换回来的还是漏的
看着还是原来那个漏的
要不是心疼我辛辛苦苦抢的李佳琦红包
我就真的退了 这么无良的商家真恶心
#livingproof[话题]#",https://www.xiaohongshu.com/explore/67245bc8000000001a01ff7d?xsec_token=ABaCoQ9KslyhiLvwfoz60TF5WIxJYKLmWrGNP9ARdOQVE=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n2705nkbf1n089hp818h97g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n27g5nkbf1n089hp7aobmuo!nd_dft_wlteh_jpg_3""","""livingproof""",5e8b786e0000000001002639,啾了个啾,8.0,0.0,1.0,1.0,"[""Living Proof""]","""[\""livingproof洗发水\""]""","{""Living Proof"": ""负向""}","{""Living Proof"": [""漏货"", ""换货无效"", ""性价比低""]}",True,True
238,livingproof,小红薯momo,5,67e15fdd000000001b03bed4,4.0,缕灵！我是真的受够了！！！！,normal,"真的够够了，每天就这么不间断地滴滴滴滴滴滴，每一天！！！！每时每刻！！！！到底能不能改进一下你们的泵头！！！！还我置物架干净清爽也是你们的职责之一好吗！！！！造成的浪费我就不说了！
	
#缕灵[话题]# #livingproof[话题]#  @Living proof 缕灵 @Living proof缕灵 @Living proof缕灵 @Living proof 缕灵",https://www.xiaohongshu.com/explore/67e15fdd000000001b03bed4?xsec_token=ABzWroFm9W8A9d7JVn72QMKoZEVm2yoYtKMxrItX36EE4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo004a0piik01fpa8oqd43g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo0g4a0piik01fpa8tk66og!nd_dft_wlteh_jpg_3""","""缕灵,livingproof""",5a5768004eacab5fb1edbf2a,哈利波波波波特,0.0,1.0,11.0,0.0,"[""Living Proof""]","""[]""","{""Living Proof"": ""负向""}","{""Living Proof"": [""受够了"", ""不间断地滴滴滴滴滴滴"", ""能不能改进一下你们的泵头"", ""还我置物架干净清爽"", ""造成的浪费""]}",True,True
239,livingproof,小红薯momo,6,67bee1aa000000000900c6c1,109.0,选洗发水选疯了 livingproof狠狠避雷,normal,"如题，孩子真的要疯了，贵价一点的洗发水试了livingproof，欧舒丹，欧舒丹洗完还算舒服，但是livingproof真的……洗完很干涩，而且也没有很蓬松，第二天就已经油了，甚至不如我用的十几块钱五百毫升的蜂花绿瓶……
明天再试试大卫尼斯那款[哭惹R]#哪种洗发水好用[话题]# #油头洗发水[话题]# #洗发水分享[话题]#",https://www.xiaohongshu.com/explore/67bee1aa000000000900c6c1?xsec_token=ABcg1ZuQd2I7y7z6Ar4PNT2l0taZSLtI7ARxJMhrqeVvg=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg31ec39b85h0d04bmai16t9fhra42r6sg!nd_dft_wgth_jpg_3""","""哪种洗发水好用,油头洗发水,洗发水分享""",5bd84dd4abfea200011fbe3b,夜行,1.0,0.0,0.0,0.0,"[""Living Proof"", ""欧舒丹"", ""蜂花""]","""[\""livingproof洗发水\"",\""欧舒丹洗发水\"",\""蜂花绿瓶洗发水\""]""","{""Living Proof"": ""负向"", ""欧舒丹"": ""正向"", ""蜂花"": ""正向""}","{""Living Proof"": [""干涩"", ""不蓬松"", ""效果差""], ""欧舒丹"": [""舒适""], ""蜂花"": [""性价比高""]}",True,True
240,livingproof,小红薯momo,7,67c5a890000000000d017efa,110.0,产后三个月漂发护理产品实测,normal,"威娜夜间精华乳：自己使用下来并没有感觉发丝很顺滑，但是对修复断发挺不错的，漂完断发情况减少很多
缕灵免洗护发乳：一般 无功无过
k18免洗发膜：传闻对漂发可以起到深度修复，其核心成分是k18肽，是一种仿生肽，能够深入修复头发角蛋白结构，可能需要长期使用，目前使用两次，效果还没有特别明显
epres修复液：会回购的产品。浓浓的精华包裹头发过夜，心理层面起到了很好的安慰作用
philipb头皮预洗精华：听到精华就走不动道，虽然洗头步骤会麻烦了点，但我的产后脱发没有很严重，不知道和这个有没有关系
olaplex4号5号:漂发必入，已经是家里囤货了#护发养发[话题]# #头皮精华[话题]# #护发心得分享[话题]# #干枯毛躁好物[话题]# #护发如护肤[话题]# #洗护[话题]# #护发好物[话题]# #护发养发头发护理[话题]# #自己在家漂发[话题]#",https://www.xiaohongshu.com/explore/67c5a890000000000d017efa?xsec_token=ABQLTRe-W0TuDZrudM9kqRgGeAuPK0jw9DKLIChtJ7pm4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031eimooft10005of07c58c3vcbjsmoro!nd_dft_wlteh_jpg_3""","""护发养发,头皮精华,护发心得分享,干枯毛躁好物,护发如护肤,洗护,护发好物,护发养发头发护理,自己在家漂发""",61e03b0a0000000021020fec,玉米粒,198.0,58.0,12.0,4.0,"[""Living Proof"", ""威娜"", ""K18"", ""Epres"", ""Philipb"", ""Olaplex""]","""[\""livingproof丰盈蓬松洗发水\"",\""威娜夜间精华乳\"",\""k18免洗发膜\"",\""epres修复液\"",\""philipb头皮预洗精华\"",\""olaplex4号5号\""]""","{""Living Proof"": ""中立"", ""威娜"": ""正向"", ""K18"": ""中立"", ""Epres"": ""正向"", ""Philipb"": ""中立"", ""Olaplex"": ""正向""}","{""Living Proof"": [""一般"", ""发尾干涩""], ""威娜"": [""修复断发有效""], ""K18"": [""需要长期使用""], ""Epres"": [""会回购"", ""心理安慰""], ""Philipb"": [""使用步骤繁琐""], ""Olaplex"": [""漂发必入"", ""囤货""]}",True,True
241,livingproof,小红薯momo,8,d4874a47-49f9-45bc-938a-3d0cce21f578#1748593346531,,,,,,,,,,,,,,,,,,,False,False
242,livingproof,小红薯momo,9,681bc7dd000000000303a428,111.0,🇨🇦真诚发问：没有人认识这个牌子吗？,normal,"真的没有人在Sephora见过它吗🤨
客人问我这是什么牌子这么贵
我在思考🤔
这个牌子在Sephora应该很火的亚子才对吧
原价超级贵诶
难道我们又进了只有我们自己觉得不错的东西吗🙂
	
#GenCBeauty[话题]# #密西沙加生活[话题]# #多伦多生活[话题]# #加拿大最低价[话题]# #护发[话题]# #livingproof[话题]#  #觉得很好用[话题]# #全天然成分[话题]# #小众控的好品[话题]# #不是广不是广[话题]# #不允许你不知道[话题]# #闭眼入[话题]# #发现新事物[话题]# #出乎意料的发现[话题]#",https://www.xiaohongshu.com/explore/681bc7dd000000000303a428?xsec_token=ABx59byIRnf5TI8jAc9PLDPJApIPKGeDf5WQgtwSJPgW0=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031h6q88p6ju005p5n8dpl7lejgim2mc0!nd_dft_wgth_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031h6q88p6ju0g5p5n8dpl7lejl0tobkg!nd_dft_wgth_jpg_3""","""GenCBeauty,密西沙加生活,多伦多生活,加拿大最低价,护发,livingproof,觉得很好用,全天然成分,小众控的好品,不是广不是广,不允许你不知道,闭眼入,发现新事物,出乎意料的发现""",64b74373000000001403d5d3,小跟班和她不死心的老板,21.0,8.0,55.0,0.0,"[""Living Proof"", ""Gencbeauty""]","""[\""livingproof蓬松洗发水\"",\""GenCBeauty产品\""]""","{""Living Proof"": ""正向"", ""Gencbeauty"": ""正向""}","{""Living Proof"": [""清香"", ""持久留香""], ""Gencbeauty"": [""加拿大低价""]}",True,True
243,livingproof,小红薯momo,10,682eb413000000000f031ab2,59.0,册那‼️打到79💰！官方200+没下来过。。,video,"谁懂！缕灵蓬松的效果让我服的透透的！
不是拔干的单纯去油
而且带有轻盈水润感的蓬松！
头皮巨清爽 头发根根分明！
	
挤出来是流动性很强的啫喱质地
很高级的清香～
洗完三天 发丝还带着若有若无的香气
这个折扣性价比拉满了！保税仓发的！
	
#livingproof洗发水[话题]# #Livingproof缕灵[话题]# #洗发水控油蓬松[话题]# #缕灵丰盈蓬松洗发水[话题]# #养发高端局[话题]# #洗发水去屑止痒控油蓬松[话题]# #洗发水618[话题]# #进口洗发水[话题]# #头发油用什么洗发水[话题]#",https://www.xiaohongshu.com/explore/682eb413000000000f031ab2?xsec_token=ABbuh-n7z5JY3TJH0YWJaaXKGKZJw5GjNqr163yev3PI8=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/1040g00g31hp94qpv3s6g5on8mmllbbke9l2us4o,"""http://sns-img-hw.xhscdn.com/1040g2sg31hp94qprji9g5on8mmllbbkehgp38s0!nd_dft_wlteh_jpg_3""","""livingproof洗发水,Livingproof缕灵,洗发水控油蓬松,缕灵丰盈蓬松洗发水,养发高端局,洗发水去屑止痒控油蓬松,洗发水618,进口洗发水,头发油用什么洗发水""",62e8b5ab000000001501ae8e,小甜蜜丸子,0.0,0.0,1.0,0.0,"[""Living Proof""]","""[\""livingproof丰盈蓬松洗发水\""]""","{""Living Proof"": ""正向""}","{""Living Proof"": [""高级感""]}",True,True
