search_id,keyword,search_account,rank,note_id,note_table_id,title,type,desc,note_url,video_url,image_list,tag_list,author_id,nickname,liked_count,collected_count,comment_count,share_count,brand_list,spu_list,emotion_dict,evaluation_dict,has_note_detail,has_brand_info
124,缕灵,小红薯momo,1,67e15fdd000000001b03bed4,4.0,缕灵！我是真的受够了！！！！,normal,"真的够够了，每天就这么不间断地滴滴滴滴滴滴，每一天！！！！每时每刻！！！！到底能不能改进一下你们的泵头！！！！还我置物架干净清爽也是你们的职责之一好吗！！！！造成的浪费我就不说了！
	
#缕灵[话题]# #livingproof[话题]#  @Living proof 缕灵 @Living proof缕灵 @Living proof缕灵 @Living proof 缕灵",https://www.xiaohongshu.com/explore/67e15fdd000000001b03bed4?xsec_token=ABzWroFm9W8A9d7JVn72QMKoZEVm2yoYtKMxrItX36EE4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo004a0piik01fpa8oqd43g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831fdp67fdmo0g4a0piik01fpa8tk66og!nd_dft_wlteh_jpg_3""","""缕灵,livingproof""",5a5768004eacab5fb1edbf2a,哈利波波波波特,0.0,1.0,11.0,0.0,"[""Living Proof""]","""[]""","{""Living Proof"": ""负向""}","{""Living Proof"": [""受够了"", ""不间断地滴滴滴滴滴滴"", ""能不能改进一下你们的泵头"", ""还我置物架干净清爽"", ""造成的浪费""]}",True,True
125,缕灵,小红薯momo,2,68131640000000000d01467e,5.0,🛒缕灵2折大羊毛！！细软塌的神！,normal,"🇺🇸高端小众洗发水livingproof
专为细软塌和油头设计
蓬蓬肽黑科技护发 秒get轻盈高颅顶！
	
外观设计：简约而不失高雅，瓶身设计时尚大方，手感舒适，易于抓握。按压开盖设计，控制用量不易漏。
	
功能特点：氨基酸表活，能够深层清洁头皮，有效去油止痒，同时补充发丝所需营养，让头发丰盈蓬松。
质地轻盈，易于起泡，泡沫丰富细腻，能深入发根清洁。
	
使用体验：使用后头发清爽度大大提升，维持时间长，控油蓬松效果显著，持续48小时不是问题，且不刺激头皮。尤其对于细软塌大油头来说，真的值得一试。
	
清仓[购物车R]2折，79就能把正装带回家，囤货装性价比更高，全家都能一起用！
	
#livingproof洗发水[话题]# #livingproof[话题]##控油洗发水[话题]##蓬松洗发水[话题]##护发洗发水[话题]# #细软塌必备[话题]# #看得见的肽蓬松力[话题]# #洗发水清仓捡漏[话题]# #进口洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]#",https://www.xiaohongshu.com/explore/68131640000000000d01467e?xsec_token=AB_VORDGeU_bQ-rV0iEU8eOvT4exprcLkbinL3l9uQdnE=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs6g5on8mmllbbke9qaokfo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs4g5on8mmllbbkekgv9560!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs505on8mmllbbkeg15q6a0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831guae6qjjs605on8mmllbbke29aebh0!nd_dft_wlteh_jpg_3""","""livingproof洗发水,livingproof,控油洗发水,蓬松洗发水,护发洗发水,细软塌必备,看得见的肽蓬松力,洗发水清仓捡漏,进口洗发水,缕灵丰盈蓬松洗发水""",62e8b5ab000000001501ae8e,小甜蜜丸子,5.0,3.0,1.0,0.0,"[""Living Proof""]","""[\""缕灵丰盈蓬松洗发水\""]""","{""Living Proof"": ""正向"", ""缕灵丰盈蓬松洗发水"": ""正向""}","{""Living Proof"": [""高端小众"", ""细软塌的神"", ""蓬蓬肽黑科技"", ""秒get轻盈高颅顶"", ""简约而不失高雅"", ""时尚大方"", ""手感舒适"", ""易于抓握"", ""控制用量不易漏"", ""深层清洁头皮"", ""有效去油止痒"", ""补充发丝所需营养"", ""丰盈蓬松"", ""质地轻盈"", ""易于起泡"", ""泡沫丰富细腻"", ""深入发根清洁"", ""清爽度大大提升"", ""维持时间长"", ""控油蓬松效果显著"", ""持续48小时"", ""不刺激头皮"", ""值得一试"", ""性价比更高""], ""缕灵丰盈蓬松洗发水"": [""细软塌的神"", ""蓬蓬肽黑科技"", ""秒get轻盈高颅顶"", ""简约而不失高雅"", ""时尚大方"", ""手感舒适"", ""易于抓握"", ""控制用量不易漏"", ""深层清洁头皮"", ""有效去油止痒"", ""补充发丝所需营养"", ""丰盈蓬松"", ""质地轻盈"", ""易于起泡"", ""泡沫丰富细腻"", ""深入发根清洁"", ""清爽度大大提升"", ""维持时间长"", ""控油蓬松效果显著"", ""持续48小时"", ""不刺激头皮"", ""值得一试"", ""性价比更高""]}",True,True
126,缕灵,小红薯momo,3,67245bc8000000001a01ff7d,6.0,避雷天猫livingproof,normal,"买了一套他家洗发水 第一次寄来是漏的
然后说补偿25元 但是我不想要就拒绝
所以换货了 但是二次换回来的还是漏的
看着还是原来那个漏的
要不是心疼我辛辛苦苦抢的李佳琦红包
我就真的退了 这么无良的商家真恶心
#livingproof[话题]#",https://www.xiaohongshu.com/explore/67245bc8000000001a01ff7d?xsec_token=ABaCoQ9KslyhiLvwfoz60TF5WIxJYKLmWrGNP9ARdOQVE=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n2705nkbf1n089hp818h97g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg319l6eb40n27g5nkbf1n089hp7aobmuo!nd_dft_wlteh_jpg_3""","""livingproof""",5e8b786e0000000001002639,啾了个啾,8.0,0.0,1.0,1.0,"[""Living Proof""]","""[\""livingproof洗发水\""]""","{""Living Proof"": ""负向""}","{""Living Proof"": [""漏货"", ""换货无效"", ""性价比低""]}",True,True
127,缕灵,小红薯momo,4,66ad7e4200000000270117bb,7.0,油头姐妹～千万别碰～缕灵洗发水,normal,"#洗发露[话题]# #油头洗发水[话题]# #缕灵洗发水[话题]#
缕灵真的是失望到极点。
本来看大网红潘小姐玩命推说是细软塌有用，增粗发丝。结果简直就是个坑，还不便宜。本人从小细软塌。一听见这个词太感兴趣了，（中间那个油头很冷门连用三瓶。还便宜）为啥缕灵洗发水不好用，我从小细软但是头皮一直很注重健康，我头发油但是从来不痒，这个2-3天不洗就会很痒，从来不会长头屑这个会长。但是确实有蓬松的效果，很难起泡沫，和黑卡#卡诗黑钻洗发水[话题]# 没法比较#日用品分享[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗护[话题]# 作为一个#油头[话题]# 真的希望同款姐妹不要踩坑啦，风太大，做成这样很失望。",https://www.xiaohongshu.com/explore/66ad7e4200000000270117bb?xsec_token=ABL5a4lZBM6dgYGFIIwcZ26HR-5ACJya2zGwiW1qWGBXA=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831613t0rf2o0049gdn5ujkimlup5fulg!nd_dft_wlteh_jpg_3""","""洗发露,油头洗发水,缕灵洗发水,卡诗黑钻洗发水,日用品分享,缕灵丰盈蓬松洗护,油头""",5919bd3a6a6a6943496c4ad5,🎀婉🎀,13.0,3.0,6.0,1.0,"[""Living Proof"", ""Kérastase""]","""[\""缕灵洗发水\"",\""卡诗黑钻洗发水\"",\""缕灵丰盈蓬松洗护\""]""","{""Living Proof"": ""负向"", ""缕灵洗发水"": ""负向"", ""缕灵丰盈蓬松洗护"": ""负向"", ""Kérastase"": ""正向"", ""卡诗黑钻洗发水"": ""正向""}","{""Living Proof"": [""失望"", ""坑"", ""不好用"", ""痒"", ""长头屑"", ""风太大"", ""失望""], ""缕灵洗发水"": [""失望"", ""坑"", ""不好用"", ""痒"", ""长头屑"", ""风太大"", ""失望""], ""缕灵丰盈蓬松洗护"": [""失望"", ""坑"", ""不好用"", ""痒"", ""长头屑"", ""风太大"", ""失望""], ""Kérastase"": [""没法比较""], ""卡诗黑钻洗发水"": [""没法比较""]}",True,True
128,缕灵,小红薯momo,5,67c06a5800000000290302d1,8.0,我要疯狂安利这个免洗头喷雾！,normal,"Livingproof缕灵免洗干发喷雾
真的好用！！！
我三四天没洗头了 喷完非常干爽蓬松！而且没有白白的粉末！
不是广啊！我自己无意间买的百货新年盲盒里的 意外的好好用啊！早八人又可以不用早起洗头延长一天了！[doge]
	
#免洗喷雾[话题]# #干发喷雾[话题]# #干发喷雾[话题]# #控油蓬松[话题]#",https://www.xiaohongshu.com/explore/67c06a5800000000290302d1?xsec_token=ABFzU5POmQxFWkg-ZaBkjnGBPNE4TuwqiBj7UctSvslVs=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g00831edj77ku100042mn05m59rbvraprfr8!nd_dft_wlteh_jpg_3""","""免洗喷雾,干发喷雾,控油蓬松""",564f6c54e58d1376b466ed7f,小糖豆子,6.0,1.0,6.0,0.0,"[""Living Proof""]","""[\""Livingproof缕灵免洗干发喷雾\""]""","{""Living Proof"": ""正向"", ""Livingproof缕灵免洗干发喷雾"": ""正向""}","{""Living Proof"": [""好用"", ""干爽"", ""蓬松"", ""没有白白的粉末"", ""意外的好好用""], ""Livingproof缕灵免洗干发喷雾"": [""好用"", ""干爽"", ""蓬松"", ""没有白白的粉末"", ""意外的好好用""]}",True,True
129,缕灵,小红薯momo,6,681ab78b00000000200286c2,9.0,缕灵你…,normal,缕灵我跟你没完…干发喷雾做这么香干啥，早八我感觉自己头上顶了个老外#我还不如早上洗个头[话题]##太香了[话题]# #香的我早八睡不着[话题]#,https://www.xiaohongshu.com/explore/681ab78b00000000200286c2?xsec_token=AB8O-cGE5wYVybvAZ38nceffdNRx10_q96xCMhZBdiAj4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg31h5p3piujok05oirk5ek0v7i8gofvm0!nd_dft_wlteh_jpg_3""","""我还不如早上洗个头,太香了,香的我早八睡不着""",625ba15d0000000010007cf2,祁䢵YYY,0.0,0.0,0.0,0.0,"[""Living Proof""]","""[\""缕灵干发喷雾\""]""","{""Living Proof"": ""负向"", ""缕灵干发喷雾"": ""负向""}","{""Living Proof"": [], ""缕灵干发喷雾"": [""太香了"", ""香的我早八睡不着""]}",True,True
130,缕灵,小红薯momo,7,53a495fa-2d2e-42d5-b0cd-381886071429#1748592814715,,,,,,,,,,,,,,,,,,,False,False
131,缕灵,小红薯momo,8,682402ec0000000022025469,10.0,试过了，去油蓬松是真的很绝❗️清仓,normal,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABUSIp33iqyrOf0zy4DHnNb0W3iQ7xTOS1MC1_XZKaPN4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u005o7jjpqg8jrea4lar2g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u0g5o7jjpqg8jren9p1e7g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hercnii3u105o7jjpqg8jrekldqv68!nd_dft_wlteh_jpg_3""","""清仓特价,洗发水测评,控油蓬松,洗发水红榜,蓬松洗发水,控油洗发水,干发喷雾,livingproof,缕灵,临期美妆,护发养发,回购清单""",60f39e750000000001004f6e,每天想退休,1.0,1.0,0.0,1.0,"[""Living Proof""]","""[\""livingproof控油蓬松洗发水\"",\""缕灵蓬松洗发水\""]""","{""Living Proof"": ""正向""}","{""Living Proof"": [""回购"", ""护发养发""]}",True,True
132,缕灵,小红薯momo,9,68304ce3000000002002a58f,11.0,扒第3/100款洗发水需求文档解密“陷阱”,normal,"#行之有晓[话题]#
缕*L这款洗发水是他们品牌大单品了
品牌口碑也是蛮不错的
	
包装看着平平无奇
在想为啥它能卖200块一瓶洗发水
品牌全线都是无硅油配方
试用之后 和某些国货无硅油真是有差异的
洗感上没有干的完全搓不开头发
惊喜的是冲水后的轻松感
	
没有因为无硅油找代替成分达到顺滑感（比如聚季铵盐-10）
而且在配方设计上面
不是以强清洁强控油为核心
搭配了多糖植物控油成分
考虑到去脂过程中的水分保湿
	
用下来两次洗感确实不错
长期使用可能会头皮健康吧
em有待测试考察
#缕灵洗发水[话题]# #缕灵[话题]# #洗发水测评[话题]#",https://www.xiaohongshu.com/explore/68304ce3000000002002a58f?xsec_token=ABXtemgv23Pae02vDTa51FvfpV65t31DnS-jBeTPnbv3I=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq304a4k7s1f7n5tr784ong!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq3g4a4k7s1f7n5trkuvm5o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq404a4k7s1f7n5tqh6k6r8!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq4g4a4k7s1f7n5tgq30gco!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq504a4k7s1f7n5tc42nv70!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031hqr8smvjq5g4a4k7s1f7n5tgq3849g!nd_dft_wlteh_jpg_3""","""行之有晓,缕灵洗发水,缕灵,洗发水测评""",5ad682f311be101be24edcbd,开妆镜也,12.0,3.0,0.0,0.0,"[""Living Proof""]","""[\""Living Proof缕灵洗发水\""]""","{""Living Proof"": ""正向""}","{""Living Proof"": [""无硅油配方"", ""冲水轻松""]}",True,True
133,缕灵,小红薯momo,10,665a9c89000000001303fd75,12.0,可以说是智商税吧。。。,normal,跟着红🍠买的，真的好难用，洗完后感觉头发都被油糊住了，是那种硅油堆积的感觉，用一次闹心一次，不知道吹它蓬松控油是怎么来的[失望R][失望R][失望R]#livingproof[话题]# #控油蓬松[话题]# #livingproof洗发水[话题]# #livingproof缕灵[话题]#,https://www.xiaohongshu.com/explore/665a9c89000000001303fd75?xsec_token=ABeRnaLlXzZy1v4Qd0jS3kUII5H9PkHkuz7JPU_MitFXU=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg313g5r9id7qdg40urpkfajaomtti4v4g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg313g5r9id7q9040urpkfajaom5e0r1b8!nd_dft_wlteh_jpg_3""","""livingproof,控油蓬松,livingproof洗发水,livingproof缕灵""",55a35ea9e4b1cf708aa7ab16,我爱小黑熊,8.0,0.0,19.0,3.0,"[""Living Proof""]","""[\""livingproof洗发水\""]""","{""Living Proof"": ""负向""}","{""Living Proof"": [""智商税"", ""难用"", ""油糊住了"", ""硅油堆积"", ""闹心""]}",True,True
