brand,mention_count,sov_percentage,rank
Living Proof,95,59.01,1
Kérastase,4,2.48,2
Off&Relax,4,2.48,3
Olaplex,4,2.48,4
L'oréal,3,1.86,5
馥绿德雅,3,1.86,6
Gencbeauty,2,1.24,7
Dove,2,1.24,8
Tatcha,1,0.62,9
Blancha,1,0.62,10
Hourglass,1,0.62,11
且初,1,0.62,12
Ren Clean Skincare,1,0.62,13
Revlon,1,0.62,14
Murad,1,0.62,15
联合利华,1,0.62,16
Kate Somerville,1,0.62,17
Diptyque,1,0.62,18
Befe,1,0.62,19
Selsun,1,0.62,20
Fapopro,1,0.62,21
Ulike,1,0.62,22
Lg,1,0.62,23
Mq,1,0.62,24
Thera Breath,1,0.62,25
L'occitane,1,0.62,26
卡詩,1,0.62,27
Lush,1,0.62,28
Leonor Greyl,1,0.62,29
郑云龙,1,0.62,30
兰蔻,1,0.62,31
美宝莲,1,0.62,32
Maternatura,1,0.62,33
Noah,1,0.62,34
欧舒丹,1,0.62,35
蜂花,1,0.62,36
威娜,1,0.62,37
K18,1,0.62,38
Epres,1,0.62,39
Philipb,1,0.62,40
Niucoco,1,0.62,41
丝芙兰,1,0.62,42
Sudtana,1,0.62,43
Aesop,1,0.62,44
欧莱雅卡尼尔,1,0.62,45
诗裴丝,1,0.62,46
Longtake,1,0.62,47
Oribe,1,0.62,48
Vitabrid,1,0.62,49
Ouai,1,0.62,50
Sachajuan,1,0.62,51
Christophe Robin,1,0.62,52
