brand,mention_count,sov_percentage,rank
L'oréal,12,6.22,1
施华蔻,11,5.7,2
Kérastase,9,4.66,3
Off&Relax,7,3.63,4
Dove,7,3.63,5
Fan Beauty,4,2.07,6
Davines,4,2.07,7
胖东来,3,1.55,8
Pantene,3,1.55,9
Living Proof,3,1.55,10
璐米,3,1.55,11
Aesop,3,1.55,12
吕,3,1.55,13
MY.ORGANICS,2,1.04,14
Alra,2,1.04,15
馥绿德雅,2,1.04,16
Spes,2,1.04,17
洗发水,2,1.04,18
弹动,2,1.04,19
Dercos,2,1.04,20
Kiehl's,2,1.04,21
Shiseido,2,1.04,22
沙宣,2,1.04,23
Clear,2,1.04,24
康如,2,1.04,25
Head & Shoulders,2,1.04,26
水杨酸控油洗发水,2,1.04,27
Olaplex,2,1.04,28
Ehd,2,1.04,29
Aussie,1,0.52,30
Amino Mason,1,0.52,31
Vegamour,1,0.52,32
鱼子酱,1,0.52,33
Doravan,1,0.52,34
Monpure,1,0.52,35
Ldk,1,0.52,36
Haohao,1,0.52,37
Hemn,1,0.52,38
吕本源,1,0.52,39
未明确提及品牌,1,0.52,40
蜂花,1,0.52,41
Iam,1,0.52,42
山姆,1,0.52,43
章小蕙,1,0.52,44
品牌未知,1,0.52,45
徐艺洋代言品牌,1,0.52,46
薇姿,1,0.52,47
Ogx,1,0.52,48
Lux,1,0.52,49
Pote,1,0.52,50
无特定品牌提及,1,0.52,51
科 氏,1,0.52,52
迷 宝,1,0.52,53
Off Ax,1,0.52,54
See Young,1,0.52,55
欧 雅,1,0.52,56
康,1,0.52,57
Befe,1,0.52,58
薇,1,0.52,59
Maternatura,1,0.52,60
Easevia,1,0.52,61
Kono,1,0.52,62
滋源,1,0.52,63
Unove,1,0.52,64
Aveeno,1,0.52,65
Decrecos,1,0.52,66
自然堂,1,0.52,67
澳丝,1,0.52,68
赛,1,0.52,69
René Furterer,1,0.52,70
飘柔,1,0.52,71
韩束,1,0.52,72
域发,1,0.52,73
中药洗发水,1,0.52,74
侧柏叶洗发水,1,0.52,75
茶柚,1,0.52,76
珮珮,1,0.52,77
Lmltop,1,0.52,78
海洋主义,1,0.52,79
Kundal,1,0.52,80
昆黛尔,1,0.52,81
Vs沙宣,1,0.52,82
Ryo,1,0.52,83
爱敬,1,0.52,84
馥马尔,1,0.52,85
Thann,1,0.52,86
My A Ganics,1,0.52,87
Bioxsine,1,0.52,88
Biolage,1,0.52,89
Ouai,1,0.52,90
Virtue,1,0.52,91
Evolvh,1,0.52,92
岚礼,1,0.52,93
菲诗,1,0.52,94
惊爆,1,0.52,95
红派,1,0.52,96
Selsun Blue,1,0.52,97
尤也海盐,1,0.52,98
半亩花田,1,0.52,99
歌原,1,0.52,100
Revitalash,1,0.52,101
若也roye,1,0.52,102
Christophe Robin,1,0.52,103
Deepseek,1,0.52,104
Klorane,1,0.52,105
Biolas,1,0.52,106
Vichy,1,0.52,107
Eof,1,0.52,108
Loreal,1,0.52,109
Schwarzkopf,1,0.52,110
Aquair,1,0.52,111
Revlon,1,0.52,112
Alpecin,1,0.52,113
Aveda,1,0.52,114
Sheveu,1,0.52,115
Aromase,1,0.52,116
康王,1,0.52,117
防脱增发系列,1,0.52,118
