search_id,keyword,search_account,rank,note_id,note_table_id,title,type,desc,note_url,video_url,image_list,tag_list,author_id,nickname,liked_count,collected_count,comment_count,share_count,brand_list,spu_list,emotion_dict,evaluation_dict,has_note_detail,has_brand_info,brand
345,丰盈蓬松洗发水,小红薯momo,2,6699d9e20000000025002207,205.0,Fan Beauty白檀洗护大羊毛！get高颅顶！,video,"油扁塌，干枯毛躁，静电分叉，没事哒！试试黑长直美女发量星人都在用的白檀洗护套组！趁着现在有大羊毛，抓紧薅！
#FanBeauty[话题]#  #洗发水[话题]#  #高颅顶[话题]#  #护发素[话题]#  #白檀香氛蓬蓬丰盈洗发水[话题]#  #发量王者[话题]#",https://www.xiaohongshu.com/explore/6699d9e20000000025002207?xsec_token=ABpnDGH0nyBDktlDGbzOpq-sUuZCQ_cNlMk7fCvNJFJ6Y=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/spectrum/1040g358315dtfj070q004a5jrnnaq7njl9fpneo,"""http://sns-img-hw.xhscdn.com/spectrum/1040g0k0315dttqa60m004a5jrnnaq7nj1pdtakg!nd_dft_wlteh_jpg_3""","""FanBeauty,洗发水,高颅顶,护发素,白檀香氛蓬蓬丰盈洗发水,发量王者""",5b062ead4eacab12ef6c1ef3,FanBeauty惊喜舍,787.0,210.0,12.0,52.0,"""[\""Fan Beauty\""]""","""[\""Fan Beauty白檀香氛蓬蓬丰盈洗发水\"",\""护发素\""]""","{""Fan Beauty"": ""正向""}","{""Fan Beauty白檀香氛蓬蓬丰盈洗发水"": [""高颅顶"", ""控油"", ""蓬松""]}",True,True,Fan Beauty
348,丰盈蓬松洗发水,小红薯momo,5,683e841c000000002001c210,208.0,细软塌星人快集合！这款洗发水真的神,normal,"不知道大家有没有和我一样的经历
早上精心洗了头出门没几个小时 头发就开始“塌方”
贴在头皮上 显得脸大又没精神 拍照都不好看
为了拯救这扁塌的头发 我试了好多洗发水
直到遇到了这款爱敬蜂胶洗发水！
我选的是这款强韧红蜂胶
它简直是细软塌发质的“梦中情水”！
一打开瓶盖是那种异国魅力的粉色花香
还带着酸甜甜的覆盆子香气
每次洗头身心都像置身花海 心情超美~
里面有蜂胶、蜂王浆、玫瑰果油和玫瑰水啥的
这几样好东西聚在一起 就像给头发来了一场营养盛宴
用了一段时间 明显感觉头发没那么容易塌了
变得蓬松又丰盈 发根都支棱起来了
整个发量看起来都多了不少！
而且头发如瀑布般垂顺 不再毛毛躁躁啦
它里面的3重蜂胶配方可以由内到外强韧的弹性修护头发改善了我头发无力下垂的老毛病
弹性也越来越好了
现在就算熬夜 压力大头发状态也依旧在线
618快到了 这么宝藏的洗发水必须囤起来！
姐妹们别再犹豫 快冲！
用了它 咱们也能拥有让人羡慕的蓬松氛围感美炸发~
#爱敬科娜洗丝[话题]##爱敬蜂胶洗发水[话题]##618洗发水[话题]##618囤货指南[话题]##烫染修护洗发水[话题]##绸缎发[话题]#",https://www.xiaohongshu.com/explore/683e841c000000002001c210?xsec_token=ABO9akIQqL6c5vwJ2Mrmv8I7bNnyM4jpIHLTaVxa_zTtI=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn1278005o23g1u08611s1crc3o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn12780g5o23g1u08611dma4mn8!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn1278105o23g1u08611ff08c5g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn12781g5o23g1u08611cvdm620!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn1278205o23g1u08611vnf1q5o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn12782g5o23g1u08611haj0j9o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn1278305o23g1u08611itina88!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn12783g5o23g1u08611f6ergt8!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn1278405o23g1u08611teq76jg!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031i8nqn12784g5o23g1u08611gn52ejo!nd_dft_wlteh_jpg_3""","""爱敬科娜洗丝,爱敬蜂胶洗发水,618洗发水,618囤货指南,烫染修护洗发水,绸缎发""",6043807c0000000001001821,超爱笑的舟舟,1.0,0.0,0.0,0.0,"""[\""爱敬\""]""","""[\""爱敬蜂胶洗发水\"",\""爱敬科娜洗丝\""]""","{""爱敬"": ""正向""}","{""爱敬蜂胶洗发水"": [""蓬松"", ""丰盈"", ""强韧"", ""修护"", ""持久留香""], ""爱敬科娜洗丝"": [""改善发质"", ""提升发量""]}",True,True,爱敬
351,丰盈蓬松洗发水,小红薯momo,8,6708f924000000001902e674,210.0,双十一油扁塌必囤洗护套组！！！,video,#FanBeauty[话题]#  #洗护好物[话题]#  #洗发水推荐[话题]#  #护发素推荐[话题]#  #白檀香氛蓬蓬丰盈洗发水[话题]#  #油扁塌必入蓬松洗发水[话题]#,https://www.xiaohongshu.com/explore/6708f924000000001902e674?xsec_token=ABWZ9iGkqinhLR9da6dAfLvPvyMWQSXRZE-Wyr5XXuy60=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/spectrum/1040g2f0318qe68a50m004a5jrnnaq7nj8l3khoo,"""http://sns-img-hw.xhscdn.com/spectrum/1040g34o318qekb9r3k0g4a5jrnnaq7nj9nl7oqg!nd_dft_wlteh_jpg_3""","""FanBeauty,洗护好物,洗发水推荐,护发素推荐,白檀香氛蓬蓬丰盈洗发水,油扁塌必入蓬松洗发水""",5b062ead4eacab12ef6c1ef3,FanBeauty惊喜舍,20.0,4.0,0.0,0.0,"""[\""FanBeauty\""]""","""[\""白檀香氛蓬蓬丰盈洗发水\""]""","{""FanBeauty"": ""正向""}","{""白檀香氛蓬蓬丰盈洗发水"": [""控油"", ""蓬松"", ""性价比高""]}",True,True,FanBeauty
352,丰盈蓬松洗发水,小红薯momo,9,67049cd2000000001a0220bb,211.0,油扁秃的活爹！用一次回购无数次的洗发水,normal,"身为一个油秃头打工人真的太太太糟心了
熬夜、压力大真的在所难免
头上的头发也不太结实
洗头掉、梳头掉、扎头发还掉
年纪轻轻天天顶着个油秃头
一整个显老又显丑！
姐妹们，头发的日常修护一定要重视起来
头发养好了，颜值翻一翻！！
—
赶紧试试这款EHD生姜洗发水！！
主打的就是一个99%纯度的【生姜】添加
改善头皮环境，舒缓瘙痒异味，滋养发根
还添加有【马齿苋】、【无患子】
控油蓬松，洗一次丰盈蓬松三整天！
—
淡黄色透明啫喱质地
里面是肉眼看的见的生姜颗粒！
味道是一股清爽的柠檬味
泡沫绵密丰富 洗感顺滑不拔干！
坚持用头发牢牢旱在头皮上！！
不用吹都是高颅顶氛围感美女！
油秃头姐妹还不赶紧用起来！
才几十块！再也不用担心漏头皮的尴尬了！！
#EHD生姜洗发水[话题]#  #发质差[话题]#  #油扁塌[话题]#  #好用洗发水[话题]#  #蓬松发根[话题]#  #压力大[话题]#  #强韧头发[话题]#",https://www.xiaohongshu.com/explore/67049cd2000000001a0220bb?xsec_token=ABCZ-bIoqpFqZyxiypUT2cG5X3tr8yBwU5LAirfjejUBs=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/spectrum/1040g34o31ccrt4pv120g5nkdq9f08k2d5bl6ss8!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/spectrum/1040g34o31ccrt5vt120g5nkdq9f08k2dsgphc60!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/spectrum/1040g0k031ccrt5ibh6005nkdq9f08k2d1glp6fo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/spectrum/1040g0k031ccrt615h6005nkdq9f08k2d6umv6vo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/spectrum/1040g34o31ccrt5lu0c0g5nkdq9f08k2d6dg0lg0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/spectrum/1040g34o31ccrt5d3g80g5nkdq9f08k2d9nccj18!nd_dft_wlteh_jpg_3""","""EHD生姜洗发水,发质差,油扁塌,好用洗发水,蓬松发根,压力大,强韧头发""",5e8dd25e000000000100504d,EHD,124.0,64.0,26.0,18.0,"""[\""EHD\""]""","""[\""EHD生姜洗发水\""]""","{""EHD"": ""正向""}","{""EHD生姜洗发水"": [""改善头皮"", ""强韧发根"", ""控油蓬松"", ""性价比高""]}",True,True,EHD
353,丰盈蓬松洗发水,小红薯momo,10,67e52c54000000001d007330,212.0,🇲🇾知道蓬松但不知道那么蓬松啊！！爽飞了！,video,#高颅顶必备[话题]# #控油洗发水[话题]##昆黛尔[话题]# #kundal[话题]# #油头洗发水[话题]# #细软塌的秘诀[话题]# #不懂就问有问必答[话题]#,https://www.xiaohongshu.com/explore/67e52c54000000001d007330?xsec_token=ABLg4q94n-2NIzjjESjI3vwQgsuPRXxaFZ6PlpfobCNWg=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/1040g2so31fhfdcd306705ou63f99ifri4rfcnlg,"""http://sns-img-hw.xhscdn.com/1040g00831fkinijm7q005ou63f99ifri97qpq10!nd_dft_wlteh_jpg_3""","""高颅顶必备,控油洗发水,昆黛尔,kundal,油头洗发水,细软塌的秘诀,不懂就问有问必答""",63c61bd20000000026013f72,小米爱吃饭,519.0,286.0,15.0,50.0,"""[\""昆黛尔\"",\""kundal\""]""","""[\""控油蓬松洗发水\""]""","{""昆黛尔"": ""正向"", ""kundal"": ""正向""}","{""控油蓬松洗发水"": [""高颅顶必备"", ""清爽蓬松"", ""留香持久""]}",True,True,昆黛尔
353,丰盈蓬松洗发水,小红薯momo,10,67e52c54000000001d007330,212.0,🇲🇾知道蓬松但不知道那么蓬松啊！！爽飞了！,video,#高颅顶必备[话题]# #控油洗发水[话题]##昆黛尔[话题]# #kundal[话题]# #油头洗发水[话题]# #细软塌的秘诀[话题]# #不懂就问有问必答[话题]#,https://www.xiaohongshu.com/explore/67e52c54000000001d007330?xsec_token=ABLg4q94n-2NIzjjESjI3vwQgsuPRXxaFZ6PlpfobCNWg=&xsec_source=pc_search,http://sns-video-bd.xhscdn.com/1040g2so31fhfdcd306705ou63f99ifri4rfcnlg,"""http://sns-img-hw.xhscdn.com/1040g00831fkinijm7q005ou63f99ifri97qpq10!nd_dft_wlteh_jpg_3""","""高颅顶必备,控油洗发水,昆黛尔,kundal,油头洗发水,细软塌的秘诀,不懂就问有问必答""",63c61bd20000000026013f72,小米爱吃饭,519.0,286.0,15.0,50.0,"""[\""昆黛尔\"",\""kundal\""]""","""[\""控油蓬松洗发水\""]""","{""昆黛尔"": ""正向"", ""kundal"": ""正向""}","{""控油蓬松洗发水"": [""高颅顶必备"", ""清爽蓬松"", ""留香持久""]}",True,True,kundal
355,丰盈蓬松洗发水,小红薯momo,12,67d7ca5b000000001d0158d7,214.0,这茉莉白茶洗发水它是真的控油蓬松啊！,normal,"有没有和我一样姐妹！
是个大油头又偏偏爱折腾头发
结果弄的发根爱出油，发梢还干枯又分叉
两极分化真的太难了！
每天都洗头但还是很油！
油扁塌的痛谁懂啊！！
出门两分钟塌颅顶只需一分钟
真的想狠狠的做一天氛围发美女！
还好功夫不负有心人！
被我发现了海洋主义家洗发cp
盲入的用过去油它是真的行！
现在我三天没洗头也没人能看的出来！
控油！蓬松！顺滑！油扁塌真的爱惨了！
-
质地是透明啫喱质地
打出来的泡沫很细腻软绵绵的
有淡淡的茉莉白茶清香，闻着很清新又舒服！
洗完头发贼清爽蓬松！一点也不干涩！
发量不多的姐妹视觉上也能拥有高颅顶！
-
每次洗完头发
我都会搭配它家同款护发素一起使用哦
一套组合拳下来
1＋1＞2哦！
吹干头发直接被惊艳到！
就是我梦中的氛围发
头顶蓬松发尾柔顺！
发质好了不少！
看起来发量都爆增！真的很爱！
这就是油扁塌的命中组合！
#洗发水[话题]# #洗发水推荐[话题]# #控油洗发水[话题]# #好用洗发水[话题]# #洗发水控油蓬松[话题]# #油头洗发水[话题]# #平价洗发水[话题]# #洗发水测评[话题]# #洗发水分享[话题]# #油头救星[话题]#",https://www.xiaohongshu.com/explore/67d7ca5b000000001d0158d7?xsec_token=ABlkdsDGW7cDsNGuQnjiu9sJn3fiPkHKhmfoWL45Kai2Y=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831f4bo3ecmq6g5pjvf8vhohj3reijde0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831f4dketo6m705pjvf8vhohj3e0ft2rg!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831f4dketo6m7g5pjvf8vhohj3740amag!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831f4dketo6m805pjvf8vhohj3k9moiao!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831f4dm07n5u005pjvf8vhohj3ervep90!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831f4dm07n5u0g5pjvf8vhohj3maehib0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g00831f4dm07n5u105pjvf8vhohj33rus7l0!nd_dft_wlteh_jpg_3""","""洗发水,洗发水推荐,控油洗发水,好用洗发水,洗发水控油蓬松,油头洗发水,平价洗发水,洗发水测评,洗发水分享,油头救星""",667f7a3f0000000007004663,SOCUS 海洋主义雅诗,3301.0,1436.0,393.0,181.0,"""[\""海洋主义\""]""","""[\""海洋主义茉莉白茶洗发水\""]""","{""海洋主义"": ""正向""}","{""海洋主义茉莉白茶洗发水"": [""控油蓬松"", ""发质顺滑"", ""高颅顶"", ""性价比高""]}",True,True,海洋主义
356,丰盈蓬松洗发水,小红薯momo,13,681f3997000000002102c621,215.0,放心冲成分党！！不含硅油和月桂醇的洗发水！,normal,"国货氨基酸表活的洗发水！！
成分表真的随便看！很干净~
双牛氨基酸表活+植物精华
无硅油！无酒精！无皂基！无SLS/SLES！！
温和清洁头皮！
不添加月桂醇！不添加苯甲酸钠！0科技！！
专为油扁塌研发！一斤💰20几！！
深层净化头皮！干净不干燥！！洗出健康蓬松感~
成分党请放心冲！！
#璐米[话题]# #平价洗发水[话题]# #洗护好物[话题]# #洗发水[话题]# #洗发水控油蓬松[话题]# #油性发质[话题]# #洗发水分享[话题]# #油头洗发水[话题]# #璐米氨基酸表活洗发露[话题]# #油头救星[话题]# #学生党平价好物[话题]# #氨基酸洗发水[话题]# #",https://www.xiaohongshu.com/explore/681f3997000000002102c621?xsec_token=ABoB2OFMCDpYBhgXzo7-5Og1Hq0md0pSihYS9rXJYQThc=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031ha1iofo3a4g5p6bc0n9el58234740o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031ha1iofo3a505p6bc0n9el583j6n4eo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031ha1iofo3a5g5p6bc0n9el58ioms970!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k031ha1iofo3a605p6bc0n9el58g56iuq0!nd_dft_wlteh_jpg_3""","""璐米,平价洗发水,洗护好物,洗发水,洗发水控油蓬松,油性发质,洗发水分享,油头洗发水,璐米氨基酸表活洗发露,油头救星,学生党平价好物,氨基酸洗发水""",675fd4e4000000001801e6e9,璐米LUMMI（暴富版）,159.0,76.0,44.0,17.0,"""[\""璐米\""]""","""[\""璐米氨基酸表活洗发露\""]""","{""璐米"": ""正向""}","{""璐米氨基酸表活洗发露"": [""温和控油"", ""成分安全"", ""学生党友好""]}",True,True,璐米
357,丰盈蓬松洗发水,小红薯momo,14,67a7777c00000000290091a5,216.0,相见恨晚！9.9💰的洗发水太太太绝了！,normal,"早上洗头晚上就塌的姐妹看过来呀👀
真的可以试试小美家这个氨基酸蓬松控油洗发水
小美家这款是无硅油洗发水 控油蓬松真的很到位
洗完不仅头发出油慢了 蓬松高颅顶也轻松拿捏
直接和油扁塌say886👋🏻
淡淡的木质花果香更是舒缓心情🍃
-
关键是9.9就到手550mL
便宜但是好用 真的相见恨晚🥳
一瓶就可以用上一段时间
很适合宿舍党学生党 ！
真的可以猛猛🐛一波
大家可以根据自己的头皮情况按需购买～
	
#学生党平价好物[话题]# #LMLTOP[话题]# #学生党也买得起[话题]##学生党[话题]#  #洗发水控油蓬松[话题]# #平价洗发水[话题]# #洗发水推荐[话题]# #秀发养出来[话题]# #爱用的洗护好物[话题]#",https://www.xiaohongshu.com/explore/67a7777c00000000290091a5?xsec_token=ABQoyrUqoJBjPOqSjpNnIm07Qppa7sOzuvUvKkY2hwtu4=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg31dl7igvngc705pmvs0mne72lo6k5kdo!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg31dl7igvngc7g5pmvs0mne72lt6nuur0!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg31dl7igvngc805pmvs0mne72l9btd4lg!nd_dft_wlteh_jpg_3""","""学生党平价好物,LMLTOP,学生党也买得起,学生党,洗发水控油蓬松,平价洗发水,洗发水推荐,秀发养出来,爱用的洗护好物""",66dfe02d000000001d031c55,LMLTOP上野拉美拉,315.0,160.0,44.0,21.0,"""[\""LMLTOP\""]""","""[\""LMLTOP氨基酸蓬松控油洗发水\""]""","{""LMLTOP"": ""正向""}","{""LMLTOP氨基酸蓬松控油洗发水"": [""性价比极高"", ""持久蓬松"", ""学生党必备""]}",True,True,LMLTOP
361,丰盈蓬松洗发水,小红薯momo,18,67cacf57000000002900c8cc,219.0,国货小众洗发水也才20➕💰,normal,"大油头实在是太惨了！
一天没洗头！就油到不行...
	
☝原本一天一洗！
现在坚持2-3天没什么问题
还能保持清爽蓬松，没有头屑的烦恼！
	
✅多重植物精粹~
妥妥的头屑清理工！
这玩意能从根源清爽控油去屑🍃
✅还有舒缓止痒成分！
能大大减少头屑头痒的情况🌀
才20+💰喜欢的姐妹们直接冲哇👊
#洗发水[话题]##洗发水推荐[话题]##洗发水推荐排行榜女[话题]##洗发水控油蓬松[话题]##洗发水去屑止痒控油蓬松[话题]##去屑洗发水[话题]##控油洗发水[话题]##洗护好物[话题]##好物分享[话题]##38焕美季[话题]##我的养宠日常[话题]#",https://www.xiaohongshu.com/explore/67cacf57000000002900c8cc?xsec_token=ABLLOAi6v-5SoeLNRtrEr_q0psMTv_mRfa_IjasW5_V2Q=&xsec_source=pc_search,,"""http://sns-img-hw.xhscdn.com/1040g2sg31eno13lqls705omhg9cgvsa5o3gvo9g!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg31eno13lqls7g5omhg9cgvsa5v3a1or8!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg31eno13lqls805omhg9cgvsa5bdrdv4o!nd_dft_wlteh_jpg_3,http://sns-img-hw.xhscdn.com/1040g2sg31eno13lqls8g5omhg9cgvsa5blnfnt0!nd_dft_wlteh_jpg_3""","""洗发水,洗发水推荐,洗发水推荐排行榜女,洗发水控油蓬松,洗发水去屑止痒控油蓬松,去屑洗发水,控油洗发水,洗护好物,好物分享,38焕美季,我的养宠日常""",62d18259000000000303f145,爱兰歌娜身体清洁,40.0,22.0,20.0,8.0,"""[\""璐米\""]""","""[\""氨基酸表活洗发露\""]""","{""璐米"": ""正向""}","{""璐米"": [""控油去屑"", ""舒缓止痒"", ""平价大碗""]}",True,True,璐米
