brand,mention_count,sov_percentage,rank
Living Proof,100,61.35,1
Kérastase,6,3.68,2
雅诗兰黛,3,1.84,3
丝芙兰,2,1.23,4
兰蔻,2,1.23,5
诗裴丝,2,1.23,6
縷靈,1,0.61,7
Christophe Robin,1,0.61,8
若也roye,1,0.61,9
Revitalash,1,0.61,10
21 Pharma,1,0.61,11
L'oreal,1,0.61,12
Lush,1,0.61,13
玉肌,1,0.61,14
马林狗子,1,0.61,15
每日圆满,1,0.61,16
娇韵诗,1,0.61,17
艾天然,1,0.61,18
Clotoo,1,0.61,19
露得清,1,0.61,20
馥绿德雅,1,0.61,21
除障香,1,0.61,22
悦诗风吟,1,0.61,23
彼得罗夫,1,0.61,24
香奈儿,1,0.61,25
卡普里岛,1,0.61,26
娇兰,1,0.61,27
番茄小说,1,0.61,28
胖东来,1,0.61,29
美宝莲,1,0.61,30
La Mer,1,0.61,31
郑云龙,1,0.61,32
威娜,1,0.61,33
K18,1,0.61,34
Epres,1,0.61,35
Philipb,1,0.61,36
Olaplex,1,0.61,37
批量测试品牌2a,1,0.61,38
批量测试品牌2b,1,0.61,39
测试品牌a,1,0.61,40
测试品牌b,1,0.61,41
批量测试品牌1a,1,0.61,42
批量测试品牌1b,1,0.61,43
半亩花田,1,0.61,44
Shiseido,1,0.61,45
L'oréal,1,0.61,46
Longtake,1,0.61,47
Off&Relax,1,0.61,48
批量测试品牌3a,1,0.61,49
批量测试品牌3b,1,0.61,50
暖暖nikki,1,0.61,51
欧莱雅卡尼尔,1,0.61,52
赛逸,1,0.61,53
澳尔滨,1,0.61,54
