keyword,method,tier,tier_limit,rank,brand,mention_count,sov_percentage,total_records,calculated_at
livingproof,simple,top20,20,1,Living Proof,20,41.67,48,2025-06-10 11:48:09
livingproof,simple,top20,20,2,Kiehl's,2,4.17,48,2025-06-10 11:48:09
livingproof,simple,top20,20,3,L'oreal,2,4.17,48,2025-06-10 11:48:09
livingproof,simple,top20,20,4,Off&Relax,2,4.17,48,2025-06-10 11:48:09
livingproof,simple,top20,20,5,Kérastase,2,4.17,48,2025-06-10 11:48:09
livingproof,simple,top20,20,6,Shiseido,2,4.17,48,2025-06-10 11:48:09
livingproof,simple,top20,20,7,且初,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,8,MY.ORGANICS,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,9,Batiste,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,10,21 Pharma,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,11,Revitalash,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,12,若也roye,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,13,Christophe Robin,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,14,胖东来,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,15,Aveda,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,16,馥绿德雅,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,17,Natureofthings,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,18,Virtue,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,19,Leonor Greyl,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,20,Olaplex,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,21,Noah,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,22,L'oréal,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,23,Maternatura,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top20,20,24,Aveeno,1,2.08,48,2025-06-10 11:48:09
livingproof,simple,top50,50,1,Living Proof,46,35.66,129,2025-06-10 11:48:09
livingproof,simple,top50,50,2,Kérastase,5,3.88,129,2025-06-10 11:48:09
livingproof,simple,top50,50,3,Off&Relax,4,3.1,129,2025-06-10 11:48:09
livingproof,simple,top50,50,4,Christophe Robin,3,2.33,129,2025-06-10 11:48:09
livingproof,simple,top50,50,5,L'oréal,3,2.33,129,2025-06-10 11:48:09
