brand,mention_count,sov_percentage,rank
Living Proof,93,41.7,1
Kérastase,9,4.04,2
L'oréal,6,2.69,3
Off&Relax,5,2.24,4
Olaplex,4,1.79,5
Oribe,3,1.35,6
Kiehl's,3,1.35,7
欧舒丹,3,1.35,8
Chanel,3,1.35,9
Christophe Robin,3,1.35,10
且初,2,0.9,11
Aveda,2,0.9,12
Aesop,2,0.9,13
Sudtana,2,0.9,14
Dior,2,0.9,15
Klorane,2,0.9,16
MY.ORGANICS,2,0.9,17
Shiseido,2,0.9,18
馥绿德雅,2,0.9,19
L'oreal,2,0.9,20
桃子r,1,0.45,21
桃生活,1,0.45,22
Longtake,1,0.45,23
奈本十八,1,0.45,24
Dr Bronner's,1,0.45,25
亚马逊,1,0.45,26
玛馨妮,1,0.45,27
Byredo,1,0.45,28
Le Labo,1,0.45,29
Vitabrid,1,0.45,30
Ouai,1,0.45,31
Molton Brown,1,0.45,32
Moroccanoil,1,0.45,33
Pura D'or,1,0.45,34
诗裴丝,1,0.45,35
Ecoco,1,0.45,36
Claynal蓬派,1,0.45,37
René Furterer,1,0.45,38
Hl黑云杉,1,0.45,39
瑞幸,1,0.45,40
泡泡玛特,1,0.45,41
M戈,1,0.45,42
Philipb,1,0.45,43
Epres,1,0.45,44
K18,1,0.45,45
威娜,1,0.45,46
R Co,1,0.45,47
Winona,1,0.45,48
Tom Ford,1,0.45,49
Avene,1,0.45,50
Port Buddy,1,0.45,51
Mihoo,1,0.45,52
Sk-ii,1,0.45,53
Afu,1,0.45,54
薇姿,1,0.45,55
Biosilk,1,0.45,56
Neutrogena,1,0.45,57
Fan Beauty Diary,1,0.45,58
康如,1,0.45,59
三生花,1,0.45,60
爱露梦,1,0.45,61
Aveeno,1,0.45,62
Batiste,1,0.45,63
21 Pharma,1,0.45,64
Revitalash,1,0.45,65
若也roye,1,0.45,66
胖东来,1,0.45,67
Natureofthings,1,0.45,68
Virtue,1,0.45,69
Leonor Greyl,1,0.45,70
Noah,1,0.45,71
Maternatura,1,0.45,72
丝芙兰,1,0.45,73
Kundal,1,0.45,74
Giovanni,1,0.45,75
大卫尼斯,1,0.45,76
Acqua Di Parma,1,0.45,77
Sisley,1,0.45,78
Alra,1,0.45,79
Botanist,1,0.45,80
施巴,1,0.45,81
伊索,1,0.45,82
蜂花,1,0.45,83
Vichy,1,0.45,84
Bring Green,1,0.45,85
Hbn,1,0.45,86
娇韵诗,1,0.45,87
Tangleteezer,1,0.45,88
雅诗兰黛,1,0.45,89
Niucoco,1,0.45,90
Sachajuan,1,0.45,91
