keyword,method,tier,tier_limit,rank,brand,mention_count,sov_percentage,total_records,calculated_at
丰盈蓬松洗发水,simple,top20,20,1,Fan Beauty,2,6.06,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,2,Living Proof,2,6.06,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,3,Kérastase,2,6.06,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,4,Murrayle,2,6.06,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,5,Nicomama,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,6,Kundal,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,7,昆黛尔,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,8,Vetes,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,9,Ehd,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,10,Lummi,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,11,璐米,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,12,Pantene,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,13,MY.ORGANICS,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,14,Qimiki,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,15,Cobiro,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,16,Vs沙宣,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,17,Off&Relax,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,18,吕,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,19,自然物语,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,20,Davines,1,3.03,33,2025-06-10 11:48:03
丰盈蓬松洗发水,simple,top20,20,21,大卫尼斯欧艾,1,3.03,33,2025-06-10 11:48:03
