brand,mention_count,sov_percentage,rank
Living Proof,15,8.47,1
Off&Relax,6,3.39,2
Kérastase,5,2.82,3
Fan Beauty,4,2.26,4
Virtue,4,2.26,5
MY.ORGANICS,4,2.26,6
Davines,4,2.26,7
L'oréal,3,1.69,8
Murrayle,3,1.69,9
Lummi,3,1.69,10
璐米,3,1.69,11
施华蔻,3,1.69,12
Pantene,2,1.13,13
Kundal,2,1.13,14
Dercos,2,1.13,15
Nicomama,2,1.13,16
Clear,2,1.13,17
Longtake,2,1.13,18
Aesop,2,1.13,19
年糕妈妈,2,1.13,20
Olaplex,2,1.13,21
Ehd,2,1.13,22
姜大福,2,1.13,23
Vichy,2,1.13,24
Algn,2,1.13,25
多 Pan,1,0.56,26
Jie 夫,1,0.56,27
Qie 初,1,0.56,28
薇 Zi,1,0.56,29
达霏欣,1,0.56,30
Biolas,1,0.56,31
Klorane,1,0.56,32
Aquair,1,0.56,33
Selsun Blue,1,0.56,34
Loreal,1,0.56,35
Schwarzkopf,1,0.56,36
馥 雅,1,0.56,37
清植雅,1,0.56,38
米铺植萃,1,0.56,39
Niucoco,1,0.56,40
Giovanni,1,0.56,41
Deepseek,1,0.56,42
施 蔻,1,0.56,43
Biosxine,1,0.56,44
D S实验室,1,0.56,45
Sheveu,1,0.56,46
24 Kerats,1,0.56,47
Mauli Rituals,1,0.56,48
若也,1,0.56,49
Amrah,1,0.56,50
Selsun,1,0.56,51
Revlon,1,0.56,52
Alpecin,1,0.56,53
Aveda,1,0.56,54
Kiehl's,1,0.56,55
Alra,1,0.56,56
Aromase,1,0.56,57
萨和,1,0.56,58
Forshine,1,0.56,59
花香5,1,0.56,60
Botanist,1,0.56,61
Tahe,1,0.56,62
歌原,1,0.56,63
祖玛珑,1,0.56,64
Spes,1,0.56,65
100年润发,1,0.56,66
Shiseido,1,0.56,67
亚朵,1,0.56,68
小猪当康,1,0.56,69
Eof,1,0.56,70
安利,1,0.56,71
威莱雅,1,0.56,72
Aussie,1,0.56,73
Imitop,1,0.56,74
小美家,1,0.56,75
My A Ganics,1,0.56,76
Bioxsine,1,0.56,77
Yeren Tang,1,0.56,78
Socus,1,0.56,79
海洋主义,1,0.56,80
K18,1,0.56,81
Ogx,1,0.56,82
昆黛尔,1,0.56,83
Vetes,1,0.56,84
Vs沙宣,1,0.56,85
Ryo,1,0.56,86
吕,1,0.56,87
大卫尼斯欧艾,1,0.56,88
Kerasys,1,0.56,89
爱敬,1,0.56,90
爱兰歌娜,1,0.56,91
摩隆,1,0.56,92
Maro,1,0.56,93
澳丝,1,0.56,94
Formulator's Gift,1,0.56,95
丝婷,1,0.56,96
配方师的告白,1,0.56,97
伊索,1,0.56,98
Philip B,1,0.56,99
Gaar,1,0.56,100
Dove,1,0.56,101
康王,1,0.56,102
自然物语,1,0.56,103
红派,1,0.56,104
惊爆,1,0.56,105
菲诗,1,0.56,106
域发,1,0.56,107
康如,1,0.56,108
Ouai,1,0.56,109
Evolvh,1,0.56,110
岚礼,1,0.56,111
L'oreal,1,0.56,112
21 Pharma,1,0.56,113
Revitalash,1,0.56,114
若也roye,1,0.56,115
Christophe Robin,1,0.56,116
胖东来,1,0.56,117
馥珮,1,0.56,118
半亩花田,1,0.56,119
