搜索关键词,监测品牌,搜索排名,笔记ID,笔记类型,笔记标题,笔记描述,笔记URL,作者ID,作者昵称,笔记最后更新时间,点赞数,收藏数,评论数,分享数,品牌情感倾向,品牌高频词,数据采集时间
丰盈蓬松洗发水,Living Proof,4,6841018d0000000021001ba0,normal,细软塌的救星驾到！,"是谁！还在为细软塌发质流泪到天明？🙋‍♀️
油得快、塌得早、毫无蓬松感...说的就是我本人了！每次洗头不到一天头顶扁塌得像被熨斗熨过，发根油腻腻地贴在头皮上...真的栓Q！😭
直到！被我的富婆闺蜜按头安利了LivingProof 丰盈蓬松洗发水!半信半疑试了一次... 真香警告！⚠️
✨ 用完第一次就惊了！
洗完吹干那一刻，整个头顶是那种自然的、空气感的蓬松,不是炸毛！手感超好，发丝又软又滑。第二天睡醒发现头顶依然很蓬松，持久度也很不错。
它这个泡沫超绵密，洗得干净但完全不涩！搭配它家的护发素（强推！），发尾也润润的，不会炸毛！
📌 细软塌姐妹必看Tips：
1️⃣ 重点洗头皮！发尾带过就好。
2️⃣ 吹头发时低头倒吹发根!冷热风交替定型，蓬松度翻倍！
3️⃣ 预算够的，一定要入同系列护发素/发膜，蓬松不炸毛的秘诀！
💰 价格小贵但值得！
讲真，一瓶是不便宜，但想想省下的洗头次数、出门前的造型时间，还有终于不用羡慕别人的高颅顶... 这钱花得值！算下来性价比超高！投资自己，从头开始！👑#细软发质[话题]# #洗发[话题]# #控油蓬松[话题]#",https://www.xiaohongshu.com/explore/6841018d0000000021001ba0?xsec_token=ABM16catNEKsZW9cw3Qx9EEA0oQPkzMrlOVsJE3zRumIg=&xsec_source=pc_search,6093d2280000000001000dc8,鱼丸醋面,2025-06-05T10:33:57+00:00,1.0,0.0,0.0,2.0,正向,"强推, 发尾也润润的, 不会炸毛",2025-06-07T19:58:19.093286+00:00
丰盈蓬松洗发水,Living Proof,13,67e3b74d000000000900d603,normal,油扁塌本命洗发水。。。可以回购一万年！,"对于油头细软塌的发质来说，找到一款合适的洗发水简直太难了！头皮容易油，头顶却细软扁塌，每次洗完头，第二天就开始出油贴头皮，尤其在家带孩子累的出油更快了。
	
😣别担心，今天给大家带来的这款全效丰盈蓬松洗发水236ml，或许就是你一直在寻找的解决方案。
	
首先，这款洗发水含有双重控油成分——烟酰胺和薄荷醇，能够深入头皮毛孔，有效控制油脂分泌，让头发保持清爽不油腻。
	
🌱同时，它还特别添加了生育酚、尿囊素和透明质酸等成分，为头皮和头发提供充足营养，从根本上解决头皮油腻和头发扁塌的问题。
	
💆‍♀️记得，每周至少使用一次护发素，以保持头发的柔顺与光泽。
	
坚持使用，你将会发现头发变得越来越蓬松，根根分明，不再油腻贴头皮，而是拥有了自然的空气感。
	
👩‍🦰对于油头细软塌的发质来说，这款洗发水简直就是救星。不仅能够有效控油，还能够从根本上解决头皮和头发的问题，让头发变得丰盈蓬松，让你的头发重获自由，绽放自然魅力。
	
#控油蓬松[话题]# #有机洗发水[话题]# #洗发水推荐[话题]##产后洗发水[话题]##控油洗发水[话题]##丰盈蓬松[话题]##细软塌救星[话题]# #livingproof[话题]# #缕灵洗发水[话题]# #哪种洗发水好用[话题]#",https://www.xiaohongshu.com/explore/67e3b74d000000000900d603?xsec_token=ABUVZBrOOpHpc1RjARbjDOnOrDYQZwhv1KL_lRRfGTMJw=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-03-26T16:14:05+00:00,5.0,1.0,1.0,1.0,正向,"控油, 蓬松, 丰盈, 救星",2025-06-07T20:34:43.112775+00:00
丰盈蓬松洗发水,Living Proof,23,67b2ecbd0000000029015e85,video,细软头顶塌进来照抄洗头护发流程！,"细软=发丝直径小，支撑力弱，容易塌。⚠️
但正确护理+造型，可让发丝蓬松有弹性！💁🏻‍♀️✨
✅ 丰盈洗发水：增加发量，不厚重；每周用清洁型洗发水去除顽固堆积。
✅ 轻盈护发素：滋润但不塌。
✅ 蓬松喷雾/摩丝：增加发根支撑，提升丰盈感。
⚠️ 细软发和脱发导致的稀疏不一样！
💡护发因人而异，按需调整最重要！
你的细软发打理秘诀是？评论区聊聊吧！👇
﻿#细软[话题]#﻿ ﻿#高颅顶[话题]#﻿ ﻿#护发[话题]#﻿ ﻿#洗头发[话题]#﻿ ﻿#洗发水[话题]#﻿ ﻿#护发素[话题]#﻿ ﻿#我的护发日常[话题]#﻿ ﻿#我的护肤日常[话题]#﻿ ﻿#haircare[话题]#﻿",https://www.xiaohongshu.com/explore/67b2ecbd0000000029015e85?xsec_token=AB17FDjJ-EgtZgLt39iqT2kIrza_6PXzUtc_Ao3ITREvU=&xsec_source=pc_search,60ba4337000000000100194d,DermTalk,2025-02-17T16:01:02+00:00,1261.0,990.0,39.0,102.0,正向,"保持蓬松, 丰盈",2025-06-07T19:58:19.093286+00:00
丰盈蓬松洗发水,Living Proof,26,684149900000000021019b8f,normal,好夸张！细软塌油头被狠狠教育了！,"是谁？第二天就油成条形码？发根紧贴头皮像刚被熨斗烫过？本细软塌十级油头患者宣布： livingproof丰盈蓬松洗发水，就是我头皮的重生父母！
	
以前洗完头＝油头倒计时开始：
两天油得能炒菜…更别提那该死的头皮痒！
	
市面上宣称""控油蓬松""的货色试了个遍，直到试用了缕灵洗发水，好家伙！一试不要紧，给我头顶干这么蓬松是怎么回事！
关键！那种深入骨髓的干爽轻盈感，谁懂啊？头皮不痒了，呼吸都畅快了！
	
以前：睡前洗的头，睡醒就塌方（真的会谢！)
现在：缕灵洗发水能让我顶着根根分明的发丝撑过完整三天！
简直是懒癌晚期＆油头天敌（正是在下）的续命神器！
	
#控油蓬松[话题]# #油头救星[话题]# #livingproof洗发水[话题]# #洗发水控油蓬松[话题]# #油头洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #livingproof洗发水测评[话题]# #洗发水去屑止痒控油蓬松[话题]# #洗发水分享[话题]#",https://www.xiaohongshu.com/explore/684149900000000021019b8f?xsec_token=ABeynBVZ930CSwCHnvm4U6pjVOpa88mhFTK7CkKiMK4gU=&xsec_source=pc_search,62790ce6000000001501745f,bellaaaa,2025-06-05T15:38:56+00:00,0.0,0.0,1.0,0.0,正向,"控油, 蓬松, 干爽, 轻盈, 不痒, 畅快",2025-06-07T20:34:43.112775+00:00
丰盈蓬松洗发水,Living Proof,34,682c3eb90000000020028492,normal,油头扁塌救星,"关于油头软塌我有发言权
先说一下我自己的头发情况，也欢迎大家一起讨论分享❤️
我是个油头，本身的头发有些偏硬，发质整体并不干枯，按理发师的话说我的头发整体发质是比较好的，但发根偏油基本上洗完头隔一天必然会油，发根油的话，会导致头发扁塌贴头皮，我本身一直追求蓬松，头发蓬松会显得脸相对来说会小一点，整体的氛围感更好，市面上大部分有点名气的蓬松洗发水几乎我都尝试过，目前近期手上在用的就是这几瓶洗发水，已经使用过一段时间来做分享。
近期在我心中排行第一的综合水平最高的是图二最左侧胖东来的这瓶洗发水。🌟🌟🌟🌟🌟
这个洗发水洗下来头发并不会特别干，但是蓬松度是有的，并且他的起泡很容易，性价比相对来说也是比较高的，我是被我妈妈安利的，所以大家有机会能买到这瓶洗发水的话，我觉得可以试一试，味道也并不难闻，而且挤不用太多，他就可以很容易起泡
就蓬松度比较好的方面来说，我第二推荐的是living proof，🌟🌟🌟🌟，之前我买的是正常量的，后来换成了大容量，由此可见，我对他的蓬松度是比较满意的，但是他洗完的头发会比较干会容易打结，所以这个时候一定要配合发膜去使用。
来说说老网红Christophe robin，🌟🌟🌟
这个品牌我很早之前就使用过，当时他们家的头皮磨砂膏很有名，我也是用了磨砂膏之后发现蓬松度真的很好，但是也是这样一个问题，洗完之后头发会很干，并且它起泡是需要你自己慢慢揉搓的，所以并不方便。后来我就买了同品牌的洗发水，但洗发水的蓬松度没有那么高，而且也是会有干涩的问题，所以近期我就懒得再用了。
国货品牌这几年势头都比较猛，我入手了若也roye，这个洗发水刚买回来的时候觉得还是有用的，头发来说是有一些蓬松的，但是后来洗着洗着我发现他蓬松保持得很短，然后整体的容量也不是很多，所以性价比相对来说并不高。
revitalash这款洗发水它的味道挺好闻，有一些蓬松度，但同样的问题蓬松程度并不是非常好，而且他还是挺贵的，如果头发出油并不是特别严重，并且有预算，对于香味有要求的话，我觉得这款可以试试。
还有其他几瓶洗发水下篇再分享，后面几张是我卷发或直发的照片，已经尽量不让头发贴头皮了[笑哭R]#油头救星[话题]# #洗发水分享[话题]# #控油蓬松[话题]# #细软塌蓬松的秘密[话题]# #贴头皮救星[话题]#",https://www.xiaohongshu.com/explore/682c3eb90000000020028492?xsec_token=ABuz3To18Td8QFOoI5NC_SnTCtVchxVHPJXoKEkPivKjk=&xsec_source=pc_search,54df25b9e779893335f9a830,锅盔妈妈,2025-05-21T16:55:14+00:00,49.0,23.0,12.0,2.0,正向,"蓬松度好, 头发会干, 容易打结",2025-06-07T19:58:19.093286+00:00
丰盈蓬松洗发水,Living Proof,39,67dacea0000000001203ca59,normal,发现一款可以少洗头的洗发水🤔,"油头困扰，头发总是贴着头皮，显得脸大没气质？😩别急，我来帮你解决！
	
首先，Living proof品牌的全效丰盈蓬松洗发水236ml（25.10到期），是你的救星。这款洗发水富含氨基酸表活，能温和清洁，同时避免硅油的沉积，让你的头发轻盈蓬松。
	
用量只需一点点，就能揉出丰富泡沫，深入清洁头皮，告别油腻。🌊
	
重点来了，它的高浓度卷发慕斯技术，能赋予头发空气感，让发根立起来，自然显脸小。
	
使用后，头发不仅清爽，更充满活力和光泽。💫
	
别担心操作复杂，使用方法超简单：
	
1. 先将头发梳理顺;
2. 取适量洗发水于掌心;
3. 轻轻揉搓起泡;
4. 均匀涂抹于头皮上;
5. 轻柔按摩片刻;
6. 最后用温水冲净。
	
每周使用2-3次，即可享受持久蓬松的秀发。🌼
	
高级香味更是锦上添花，让你的日常更加舒心。
	
所以，油头姐妹们，赶紧尝试一下吧！让Living proof带你告别油腻，拥抱清爽蓬松的每一天。🌻#油头推荐洗发水[话题]##蓬松洗发水[话题]##细软塌洗发水[话题]##控油洗发水[话题]##livingproof[话题]# #缕灵丰盈蓬松洗护[话题]# #高颅顶[话题]# #氨基酸洗发水[话题]# #控油蓬松[话题]# #养发高端局[话题]#",https://www.xiaohongshu.com/explore/67dacea0000000001203ca59?xsec_token=AB20krvcsmxbus9yluSX6VCq-N0abRtuSC8Nw-8ekTn6c=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-03-19T22:03:51+00:00,1.0,1.0,0.0,2.0,正向,"救星, 温和清洁, 避免硅油沉积, 高级香味, 舒心",2025-06-07T20:34:43.112775+00:00
丰盈蓬松洗发水,Living Proof,52,6841557000000000220254b3,normal,"告别细软塌 告别大油头 重回高颅顶
天气越来越热 ，对于我这种油性发质更是难熬 半天不洗就油呼呼 ，头发贴脸给人感觉脸又大整个人也不精致
偶然的机会在朋友家试用了缕灵洗发水效果很不错，本身我的头皮有些敏感 选不好洗发水容易有头屑 ，缕灵这款很温和洗完吹干整个头发都丰盈蓬松起来了 配合它的护发素 简直又顺又亮。
我寻思睡醒一觉看看第二天效果，竟然没出油，蓬松持久度挺不错，这样我可以两天洗一次头发啦，减少了洗头发时间这样早上可以多睡一会， 这样还减少了脱发，头发洗的太勤会掉的更多，立马下单了一套，从此告别细软","告别细软塌 告别大油头 重回高颅顶
天气越来越热 ，对于我这种油性发质更是难熬 半天不洗就油呼呼 ，头发贴脸给人感觉脸又大整个人也不精致
偶然的机会在朋友家试用了缕灵洗发水效果很不错，本身我的头皮有些敏感 选不好洗发水容易有头屑 ，缕灵这款很温和洗完吹干整个头发都丰盈蓬松起来了 配合它的护发素 简直又顺又亮。
我寻思睡醒一觉看看第二天效果，竟然没出油，蓬松持久度挺不错，这样我可以两天洗一次头发啦，减少了洗头发时间这样早上可以多睡一会， 这样还减少了脱发，头发洗的太勤会掉的更多，立马下单了一套，从此告别细软塌 我的发缝也保住了。
#缕灵[话题]# #livingproof[话题]# #丰盈蓬松洗发水[话题]# #细软塌洗发水[话题]# #控油洗发水[话题]# #高颅顶[话题]#",https://www.xiaohongshu.com/explore/6841557000000000220254b3?xsec_token=ABM16catNEKsZW9cw3Qx9EEN-8Un249bZ4Xyr2mwx84Sg=&xsec_source=pc_search,61fd3e000000000010008b01,- 郝,2025-06-05T16:29:36+00:00,0.0,0.0,0.0,1.0,正向,"效果好, 温和, 丰盈蓬松, 顺亮",2025-06-07T19:58:19.093286+00:00
丰盈蓬松洗发水,Living Proof,53,680798e60000000007034903,video,沃去‼️原本500+被我砍到这个数💰！！,"再难啃的品牌方也被我啃下来了❗️
都是正装囤货装 超大容量[购物车R]
专研蓬蓬肽科技 对付细软塌很有一手！
不是日常💰买不起，而是清仓更有性价比～
任何人错过这波我都会心痛的[凋谢R]
#进口洗发水[话题]# #洗发水清仓捡漏[话题]# #livingproof洗发水[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #缕灵每日圆满洗发水[话题]# #livingproof蓬松洗护[话题]# #livingproof缕灵[话题]# #洗发水控油蓬松[话题]# #细软塌洗发水推荐[话题]#",https://www.xiaohongshu.com/explore/680798e60000000007034903?xsec_token=ABFTG5H1cUjUFYqVgvNnc7ExfsIJyCWTeDhW9IEn1kFYU=&xsec_source=pc_search,62e8b5ab000000001501ae8e,小甜蜜丸子,2025-04-22T21:25:59+00:00,2.0,1.0,1.0,0.0,正向,"对付细软塌很有一手, 性价比高",2025-06-07T20:34:43.112775+00:00
丰盈蓬松洗发水,Living Proof,55,683f076f000000002101af3d,normal,油头细软塌洗发水推荐,"发型师造型界最难打理的就是细软塌的头发，这款洗发水真的是绝绝子！内含麻省理工学院发芯研究专家研究首创的黑科技蓬松肽，谁能想象就用这款洗发水，发丝还能变粗，还能让细软塌变成高颅顶，简直太爱了。尤其是夏季爱出油的姐妹们，妥妥的必入洗发神器啊！这款洗发水气味就像名字（缕灵）一样，缕缕发丝散发清灵气息，特别好闻，特别清新！
#Livingpoor[话题]##缕灵[话题]##油头救星[话题]# #细软塌[话题]# #高颅顶秘诀[话题]# #夏日洗护[话题]##好物分享[话题]##丰盈蓬松洗发水[话题]#",https://www.xiaohongshu.com/explore/683f076f000000002101af3d?xsec_token=ABgWoLliso_VxiFBwBCoSPHn4mDgukr12zShgrs9Q13ns=&xsec_source=pc_search,5b3d55f24eacab484c19e034,那年我单手插兜,2025-06-03T22:32:15+00:00,51.0,0.0,2.0,1.0,正向,"缕缕发丝散发清灵气息, 特别好闻, 特别清新",2025-06-07T19:58:19.093286+00:00
丰盈蓬松洗发水,Living Proof,58,6830266500000000230112f5,normal,近期使用的头发洗护,"[举手R]简单说下自己的头发状况，隔天洗一次，再久就会很油，沙发但是偏细软，发质看上去好坏程度非常看天气。
‼️以下1-5是洗发水，6-8是护发产品‼️
[一R]韩国kundal洗发水和护发素
买了一套都是蜂蜜坚果的，味道是粉红葡萄柚香
我偏爱柑橘调的香味，所以这套的味道非常喜欢，
偏滋润的质地，护发素用完挺顺滑的，
整体中规中矩，适合头发没啥问题，又不知道用什么的时候的选择
	
[二R]Giovanni茶树油洗发水
带薄荷感🍃，但又不会特别刺激，天气热的时候特别喜欢用这瓶
有种洗完之后特别干净的感觉，但又不至于很干涩，这瓶我用得特别快，
我一般会同时用几种洗发水的，但天气一热，每次洗头发都会很随手拿起这瓶
	
[三R]Living Proof丰盈蓬松洗发水
有段时候总感觉头发油油的，看到广告就下手了
味道一闻就是：啊是泥膜！的感觉，闻起来就感觉清洁力很厉害哈哈哈
使用效果对我来说一般，用完后发尾非常干涩，一定要用护发素
使用后头皮虽然有干净感，但是发根处没太有蓬松感
	
[四R]薇姿绿标洗发水
这瓶是之前染完发后怀疑自己有溢脂性皮炎（有头屑、还有头油味），但应该是轻微的，搜到了这瓶
[彩虹R]它的味道像药味，不臭，挺上头的，使用感非常喜欢，它用完后是真的有头发干净蓬松了的感觉，但发尾肯定还是干涩，不过没有livingproof那么干，是可以不用护发素，但吹头发的时候要抹点发油的程度，用了大半个月吧，感觉没什么头皮屑了
就是不知道健康头皮能不能用
	
[五R]Offrelax头皮预洗凝露
说到头皮有油味，当时也是搜了很多相关的洗护产品，搜到了这个
看名字就知道了，专门针对头皮清洁的，它的质地像水，香味非常重，感觉用完这个香气完全能盖住头油味，开始用的几次使用感很好，也是感觉洗完很干净，头发蓬松了，但是用几次之后就没有开始的那种惊艳感了，难道是所谓的‘抗药性’？
	
[六R]NIUCOCO的椰油发油
感觉是目前为止用过最好用的发油[红色心形R]，
之前有用过一些发油，会有那种抹是抹上了，但只是覆盖在头发表面，没有吸收进去的感觉，不知道你们有没有试过，但这瓶用的时候就是觉得真能吸收进去[okR]
味道闻着不像香精，已经回购过两三瓶了
	
[彩虹R]剩下的写不完放P10了‼️
	
#护发好物[话题]# #洗发[话题]# #护发[话题]# #洗护[话题]#",https://www.xiaohongshu.com/explore/6830266500000000230112f5?xsec_token=ABTOOaMyNQi5wOEV5c_hjSbsnW1aaQnMn5E78k7qKY4_s=&xsec_source=pc_search,5fe827c6000000000101fc1d,吃好喝好玩得开心,2025-05-23T15:40:21+00:00,7.0,1.0,0.0,0.0,中立,"一般, 干涩, 没有蓬松感",2025-06-07T19:58:19.093286+00:00
