keyword,method,tier,tier_limit,rank,brand,mention_count,sov_percentage,total_records,calculated_at
缕灵,simple,top20,20,1,Living Proof,20,62.5,32,2025-06-10 11:48:06
缕灵,simple,top20,20,2,Kérastase,2,6.25,32,2025-06-10 11:48:06
缕灵,simple,top20,20,3,Mild By Nature,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,4,René Furterer,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,5,丝芙兰,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,6,威娜,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,7,K18,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,8,Epres,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,9,Philipb,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,10,Olaplex,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,11,三生花,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top20,20,12,百雀羚,1,3.12,32,2025-06-10 11:48:06
缕灵,simple,top50,50,1,Living Proof,46,45.54,101,2025-06-10 11:48:06
缕灵,simple,top50,50,2,Kérastase,6,5.94,101,2025-06-10 11:48:06
缕灵,simple,top50,50,3,Olaplex,2,1.98,101,2025-06-10 11:48:06
缕灵,simple,top50,50,4,Off&Relax,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,5,Davines,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,6,Shiseido,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,7,大卫,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,8,迷莲卡薇,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,9,薇姿,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,10,Lush,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,11,Leonorgreyl,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,12,Rivita,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,13,艾凡达,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,14,Aveda,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,15,Sudtana,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,16,Longtake,1,0.99,101,2025-06-10 11:48:06
缕灵,simple,top50,50,17,二硫化硒,1,0.99,101,2025-06-10 11:48:06
