brand,mention_count,sov_percentage,rank
Living Proof,92,56.1,1
Kérastase,7,4.27,2
诗裴丝,2,1.22,3
Aveda,2,1.22,4
Olaplex,2,1.22,5
MY.ORGANICS,2,1.22,6
Off&Relax,2,1.22,7
L'oréal,2,1.22,8
Hl黑云杉,1,0.61,9
Rivita,1,0.61,10
艾凡达,1,0.61,11
Davines,1,0.61,12
Sudtana,1,0.61,13
Redken,1,0.61,14
Gotukola,1,0.61,15
Revitalash,1,0.61,16
Furterer,1,0.61,17
赛逸,1,0.61,18
Claynal蓬派,1,0.61,19
特仑苏,1,0.61,20
Leonorgreyl,1,0.61,21
开市客,1,0.61,22
亚马逊,1,0.61,23
暖暖nikki,1,0.61,24
Head & Shoulders,1,0.61,25
Moroccanoil,1,0.61,26
Le Labo,1,0.61,27
Black Baccara,1,0.61,28
Miriam Quevedo,1,0.61,29
Mcdonald's,1,0.61,30
Longtake,1,0.61,31
薇姿,1,0.61,32
Lush,1,0.61,33
Hair Recipe,1,0.61,34
Mild By Nature,1,0.61,35
René Furterer,1,0.61,36
丝芙兰,1,0.61,37
威娜,1,0.61,38
K18,1,0.61,39
Epres,1,0.61,40
Philipb,1,0.61,41
三生花,1,0.61,42
百雀羚,1,0.61,43
半亩花田,1,0.61,44
黛丝恩,1,0.61,45
若也,1,0.61,46
寇斯汀,1,0.61,47
迷莲卡薇,1,0.61,48
馥绿德雅,1,0.61,49
Clear,1,0.61,50
植观,1,0.61,51
Aussie,1,0.61,52
英国lush,1,0.61,53
英国the Body Shop,1,0.61,54
英国soap Glory,1,0.61,55
吕,1,0.61,56
霸王,1,0.61,57
二硫化硒,1,0.61,58
Shiseido,1,0.61,59
大卫,1,0.61,60
L'oreal,1,0.61,61
